property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
1,1906,2171680.00,SF_0024002,San Francisco,CA,Flat & Store 4 units or less,2,,,
2,1906,1698448.00,SF_0024005,San Francisco,CA,Flats 5 to 14 units,6,,,
3,1963,1910608.00,SF_0024007,San Francisco,CA,Flats & Duplex,2,,,
4,1904,2536800.00,SF_0024011B,San Francisco,CA,Flats & Duplex,3,,,
5,1926,2374324.00,SF_0024011C,San Francisco,CA,Flats & Duplex,3,,,
6,1926,1902600.00,SF_0024011D,San Francisco,CA,Flat & Store 4 units or less,3,,,
7,1961,3953180.00,SF_0024024,San Francisco,CA,Apartment 5 to 14 Units,8,,,
8,1927,1984140.00,SF_0025003A,San Francisco,CA,Flats & Duplex,3,,,
9,1927,2257920.00,SF_0025003B,San Francisco,CA,Flats & Duplex,2,,,
10,1912,2265000.00,SF_0025004,San Francisco,CA,Apartment 4 units or less,4,,,
11,1925,3334080.00,SF_0025004A,San Francisco,CA,Flat & Store 5 to 14 units,5,,,
12,1932,2496936.00,SF_0025004C,San Francisco,CA,Flats & Duplex,3,,,
13,1932,1536640.00,SF_0025004E,San Francisco,CA,Flats & Duplex,2,,,
14,1937,4075232.00,SF_0025004F,San Francisco,CA,Flats & Duplex,2,,,
15,1900,3352804.00,SF_0025008,San Francisco,CA,Flat & Store 5 to 14 units,5,,,
16,2018,1724800.00,SF_0025017,San Francisco,CA,Flat & Store,2,,,
17,1911,5205876.00,SF_0025019,San Francisco,CA,Apartment 5 to 14 Units,7,,,
18,1907,1991360.00,SF_0025028,San Francisco,CA,Flats & Duplex,2,,,
19,1913,2548000.00,SF_0025067,San Francisco,CA,Apartment 4 units or less,2,,,
20,1908,2473380.00,SF_0026001A,San Francisco,CA,Flats & Duplex,4,,,
21,1907,1760660.00,SF_0026002,San Francisco,CA,Flats & Duplex,3,,,
22,1905,2241444.00,SF_0026003,San Francisco,CA,Flats & Duplex,3,,,
23,1906,2241444.00,SF_0026004,San Francisco,CA,Flats & Duplex,3,,,
24,1905,2241444.00,SF_0026005,San Francisco,CA,Flats & Duplex,3,,,
25,1961,3079796.00,SF_0026007,San Francisco,CA,Apartment 5 to 14 Units,7,,,
26,1974,4403160.00,SF_0026010,San Francisco,CA,Apartment 5 to 14 Units,6,,,
27,1912,3297840.00,SF_0026013,San Francisco,CA,TIC Bldg 4 units or less,5,,,
28,1900,4533872.00,SF_0026015,San Francisco,CA,Flats & Duplex,2,,,
29,1940,2900800.00,SF_0026016,San Francisco,CA,Flats & Duplex,2,,,
30,1938,3561712.00,SF_0026017,San Francisco,CA,Flats & Duplex,2,,,
31,1900,3322000.00,SF_0026018,San Francisco,CA,Flats 5 to 14 units,5,,,
32,2004,2107392.00,SF_0026018A,San Francisco,CA,1 Flat & 1 Apt Bldg-1 Parcel,2,,,
33,1962,2849672.00,SF_0026019C,San Francisco,CA,Apartment 5 to 14 Units,6,,,
34,1926,2234400.00,SF_0026019D,San Francisco,CA,Flats & Duplex,2,,,
35,1927,2689120.00,SF_0026019E,San Francisco,CA,Flats & Duplex,2,,,
36,1907,2174400.00,SF_0026021,San Francisco,CA,Apartment 4 units or less,4,,,
37,1907,2750616.00,SF_0026022,San Francisco,CA,Flats & Duplex,3,,,
38,1910,2167152.00,SF_0026024,San Francisco,CA,Apartment 4 units or less,4,,,
39,1926,1872400.00,SF_0026026,San Francisco,CA,Flats & Duplex,3,,,
40,1936,2375520.00,SF_0026029,San Francisco,CA,Flats & Duplex,2,,,
41,2011,3313544.00,SF_0026038,San Francisco,CA,Apartment 4 units or less,3,,,
42,1900,1538208.00,SF_0026039,San Francisco,CA,Flat & Store 4 units or less,2,,,
43,1950,2942084.00,SF_0027001,San Francisco,CA,Flats & Duplex,3,,,
44,1934,2728320.00,SF_0027001A,San Francisco,CA,Flats & Duplex,2,,,
45,1940,2642080.00,SF_0027001B,San Francisco,CA,Flats & Duplex,2,,,
46,1950,2532320.00,SF_0027001C,San Francisco,CA,Flats & Duplex,2,,,
47,1950,2566032.00,SF_0027001D,San Francisco,CA,Flats & Duplex,2,,,
48,1938,1881600.00,SF_0027002,San Francisco,CA,Flats & Duplex,2,,,
49,1940,2355600.00,SF_0027002B,San Francisco,CA,Flats & Duplex,3,,,
