unit_id,property_id,unit_number,beds,adjusted_rent,baths,base_rent
1,1,1,2,3604.00,1.0,3604.00
2,1,2,2,3604.00,1.0,3604.00
3,2,1,1,2977.00,1.0,2977.00
4,2,2,1,2977.00,1.0,2977.00
5,2,3,1,2977.00,1.0,2977.00
6,2,4,1,2977.00,1.0,2977.00
7,2,5,1,2977.00,1.0,2977.00
8,2,6,1,2977.00,1.0,2977.00
9,3,1,3,4604.00,1.5,4604.00
10,3,2,3,4604.00,1.5,4604.00
11,4,1,2,3604.00,1.0,3604.00
12,4,2,2,3604.00,1.0,3604.00
13,4,3,2,3604.00,1.0,3604.00
14,5,1,2,3604.00,1.0,3604.00
15,5,2,2,3604.00,1.0,3604.00
16,5,3,2,3604.00,1.0,3604.00
17,6,1,2,3604.00,1.0,3604.00
18,6,2,1,2977.00,1.0,2977.00
19,6,3,1,2977.00,1.0,2977.00
20,7,1,1,2977.00,1.0,2977.00
21,7,2,1,2977.00,1.0,2977.00
22,7,3,1,2977.00,1.0,2977.00
23,7,4,1,2977.00,1.0,2977.00
24,7,5,1,2977.00,1.0,2977.00
25,7,6,1,2977.00,1.0,2977.00
26,7,7,1,2977.00,1.0,2977.00
27,7,8,1,2977.00,1.0,2977.00
28,8,1,2,3604.00,,3604.00
29,8,2,2,3604.00,,3604.00
30,8,3,2,3604.00,,3604.00
31,9,1,2,3604.00,1.0,3604.00
32,9,2,2,3604.00,1.0,3604.00
33,10,1,1,2977.00,1.0,2977.00
34,10,2,1,2977.00,1.0,2977.00
35,10,3,1,2977.00,1.0,2977.00
36,10,4,1,2977.00,1.0,2977.00
37,11,1,2,3604.00,1.25,3604.00
38,11,2,2,3604.00,1.25,3604.00
39,11,3,2,3604.00,1.25,3604.00
40,11,4,2,3604.00,1.25,3604.00
41,11,5,2,3604.00,1.25,3604.00
42,12,1,2,3604.00,1.0,3604.00
43,12,2,2,3604.00,1.0,3604.00
44,12,3,2,3604.00,1.0,3604.00
45,13,1,1,2977.00,1.0,2977.00
46,13,2,1,2977.00,1.0,2977.00
47,14,1,4,4772.00,2.5,4772.00
48,14,2,4,4772.00,2.5,4772.00
49,15,1,2,3604.00,1.0,3604.00
50,15,2,2,3604.00,1.0,3604.00
51,15,3,2,3604.00,1.0,3604.00
