property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
1,1900,855391.12,F_819696_3025473,Beverly,MA,Two-Family Residential,2,,,
2,1890,762790.70,F_819624_3026337,Beverly,MA,Two-Family Residential,2,,,
3,1900,880972.52,F_819612_3026221,Beverly,MA,Two-Family Residential,2,,,
4,1920,766279.07,F_819685_3026240,Beverly,MA,Two-Family Residential,2,,,
5,1930,767758.99,F_819832_3026796,Beverly,MA,Two-Family Residential,2,,,
6,1900,922304.44,F_819656_3025694,Beverly,MA,Two-Family Residential,2,,,
7,1900,1064270.61,F_820131_3026146,Beverly,MA,Apartments with Four to Eight Units,4,,,
8,1930,743551.80,F_820181_3026129,Beverly,MA,Two-Family Residential,2,,,
9,1925,880443.97,F_819825_3025931,Beverly,MA,Three-Family Residential,3,,,
10,1905,1071035.94,F_819908_3026002,Beverly,MA,Apartments with Four to Eight Units,4,,,
11,1925,702959.83,F_819776_3026016,Beverly,MA,Two-Family Residential,2,,,
12,1897,813847.78,F_819597_3026036,Beverly,MA,Two-Family Residential,2,,,
13,1900,894291.75,F_819821_3025566,Beverly,MA,Two-Family Residential,2,,,
14,1930,753699.79,F_819947_3025581,Beverly,MA,Two-Family Residential,2,,,
15,1930,842706.13,F_820021_3025667,Beverly,MA,Three-Family Residential,3,,,
16,1930,811310.78,F_820049_3025704,Beverly,MA,Three-Family Residential,3,,,
17,1930,1004651.16,F_820073_3025736,Beverly,MA,Three-Family Residential,3,,,
18,1925,821141.65,F_820099_3025781,Beverly,MA,Two-Family Residential,2,,,
19,1850,916173.36,F_820133_3025835,Beverly,MA,Two-Family Residential,2,,,
20,1900,862262.16,F_820191_3025987,Beverly,MA,Two-Family Residential,2,,,
21,1920,764376.32,F_819920_3025773,Beverly,MA,Two-Family Residential,2,,,
22,1935,822198.73,F_819890_3025732,Beverly,MA,Two-Family Residential,2,,,
23,1924,844080.34,F_820222_3025455,Beverly,MA,Two-Family Residential,2,,,
24,1900,799682.88,F_820368_3025877,Beverly,MA,Three-Family Residential,3,,,
25,1900,893868.92,F_820291_3025830,Beverly,MA,Two-Family Residential,2,,,
26,1910,852537.00,F_820302_3025764,Beverly,MA,Two-Family Residential,2,,,
27,1900,902642.71,F_820280_3025707,Beverly,MA,Two-Family Residential,2,,,
28,1900,761627.91,F_820470_3025866,Beverly,MA,Two-Family Residential,2,,,
29,1753,900951.37,F_819772_3025411,Beverly,MA,Two-Family Residential,2,,,
30,1900,862262.16,F_820441_3025699,Beverly,MA,Two-Family Residential,2,,,
31,1900,743128.96,F_820672_3025556,Beverly,MA,Two-Family Residential,2,,,
32,1900,900528.54,F_820533_3022718,Beverly,MA,Two-Family Residential,2,,,
33,1900,826638.48,F_822823_3026538,Beverly,MA,Two-Family Residential,2,,,
34,1910,874630.02,F_822870_3026523,Beverly,MA,Three-Family Residential,3,,,
35,1991,893974.63,F_823000_3026523,Beverly,MA,Two-Family Residential,2,,,
36,1880,858668.08,F_822955_3026582,Beverly,MA,Three-Family Residential,3,,,
37,1880,838054.97,F_822819_3026622,Beverly,MA,Two-Family Residential,2,,,
38,1910,852854.12,F_822651_3026324,Beverly,MA,Three-Family Residential,3,,,
39,1900,912262.16,F_822707_3026319,Beverly,MA,Three-Family Residential,3,,,
40,1910,807188.16,F_822755_3026317,Beverly,MA,Two-Family Residential,2,,,
41,1920,815961.95,F_822856_3026286,Beverly,MA,Two-Family Residential,2,,,
42,1910,996088.79,F_822918_3026255,Beverly,MA,Three-Family Residential,3,,,
43,1920,863847.78,F_822942_3026329,Beverly,MA,Two-Family Residential,2,,,
44,1910,939746.30,F_822833_3026398,Beverly,MA,Three-Family Residential,3,,,
45,1915,896300.21,F_822741_3026426,Beverly,MA,Three-Family Residential,3,,,
46,1915,1860042.28,F_822501_3026243,Beverly,MA,Apartments with Four to Eight Units,6,,,
47,1910,1218921.78,F_822477_3026129,Beverly,MA,Apartments with Four to Eight Units,4,,,
48,1910,802748.41,F_822491_3026177,Beverly,MA,Three-Family Residential,3,,,
49,1900,433086.68,F_822608_3026189,Beverly,MA,Three-Family Residential,3,,,
50,1880,815539.11,F_822591_3026117,Beverly,MA,Two-Family Residential,2,,,
51,1808,821353.07,F_822713_3026079,Beverly,MA,Two-Family Residential,2,,,
52,1900,912896.41,F_822765_3026064,Beverly,MA,Three-Family Residential,3,,,
53,1900,1206025.37,F_822813_3026046,Beverly,MA,Apartments with Four to Eight Units,4,,,
54,1911,856448.20,F_822863_3026035,Beverly,MA,Two-Family Residential,2,,,
55,1920,938266.38,F_822895_3026130,Beverly,MA,Three-Family Residential,3,,,
56,1900,727906.98,F_822858_3026140,Beverly,MA,Two-Family Residential,2,,,
57,1910,942177.59,F_822814_3026154,Beverly,MA,Three-Family Residential,3,,,
58,1910,848414.38,F_822763_3026170,Beverly,MA,Three-Family Residential,3,,,
59,1910,717230.44,F_822718_3026184,Beverly,MA,Three-Family Residential,3,,,
60,1910,788794.93,F_822673_3026197,Beverly,MA,Three-Family Residential,3,,,
61,1906,875369.98,F_822624_3026236,Beverly,MA,Three-Family Residential,3,,,
62,1800,928752.64,F_822325_3025919,Beverly,MA,Three-Family Residential,3,,,
63,1989,857082.45,F_822365_3025909,Beverly,MA,Two-Family Residential,2,,,
64,1900,936575.05,F_822426_3025898,Beverly,MA,Three-Family Residential,3,,,
65,1880,783932.35,F_822496_3025887,Beverly,MA,Two-Family Residential,2,,,
66,1880,748097.25,F_822548_3025877,Beverly,MA,Two-Family Residential,2,,,
67,1900,898731.50,F_822661_3025839,Beverly,MA,Two-Family Residential,2,,,
68,1900,761945.03,F_822690_3025896,Beverly,MA,Two-Family Residential,2,,,
69,1872,957716.70,F_822690_3025956,Beverly,MA,Two-Family Residential,2,,,
70,1900,823572.94,F_822642_3025947,Beverly,MA,Two-Family Residential,2,,,
71,1900,1498097.25,F_822198_3025954,Beverly,MA,Apartments with Four to Eight Units,5,,,
72,1900,913213.53,F_822583_3025655,Beverly,MA,Three-Family Residential,3,,,
73,1910,824630.02,F_822717_3025649,Beverly,MA,Two-Family Residential,2,,,
74,1900,817653.28,F_822777_3025636,Beverly,MA,Two-Family Residential,2,,,
75,1900,704862.58,F_822818_3025633,Beverly,MA,Two-Family Residential,2,,,
76,1920,757610.99,F_822855_3025629,Beverly,MA,Three-Family Residential,3,,,
77,1900,835095.14,F_822909_3025625,Beverly,MA,Three-Family Residential,3,,,
78,1930,778964.06,F_822924_3025667,Beverly,MA,Two-Family Residential,2,,,
79,1925,775898.52,F_822829_3025687,Beverly,MA,Two-Family Residential,2,,,
80,1880,854334.04,F_822782_3025697,Beverly,MA,Two-Family Residential,2,,,
81,1880,931712.47,F_822688_3025722,Beverly,MA,Three-Family Residential,3,,,
82,1880,897885.84,F_822637_3025730,Beverly,MA,Two-Family Residential,2,,,
83,1900,836575.05,F_822588_3025738,Beverly,MA,Two-Family Residential,2,,,
84,1880,973678.65,F_822495_3025754,Beverly,MA,Three-Family Residential,3,,,
85,1880,686997.89,F_822451_3025760,Beverly,MA,Two-Family Residential,2,,,
86,1900,1492177.59,F_822395_3025778,Beverly,MA,Apartments with Four to Eight Units,4,,,
87,1900,976109.94,F_823143_3025492,Beverly,MA,Three-Family Residential,3,,,
88,1900,768816.07,F_823101_3025500,Beverly,MA,Two-Family Residential,2,,,
89,1900,917653.28,F_822900_3025526,Beverly,MA,Three-Family Residential,3,,,
90,1900,903276.96,F_822825_3025527,Beverly,MA,Three-Family Residential,3,,,
91,1900,822938.69,F_822765_3025528,Beverly,MA,Two-Family Residential,2,,,
92,1900,890591.97,F_822667_3025523,Beverly,MA,Three-Family Residential,3,,,
93,1910,894397.46,F_822665_3025444,Beverly,MA,Two-Family Residential,2,,,
94,1910,843446.09,F_822725_3025446,Beverly,MA,Two-Family Residential,2,,,
95,1900,797991.54,F_822916_3025454,Beverly,MA,Two-Family Residential,2,,,
96,1800,761945.03,F_822965_3025451,Beverly,MA,Two-Family Residential,2,,,
97,2017,1005285.41,F_823024_3025442,Beverly,MA,Two-Family Residential,2,,,
98,1900,917758.99,F_823084_3025434,Beverly,MA,Three-Family Residential,3,,,
99,1800,1253911.21,F_822859_3025356,Beverly,MA,Apartments with Four to Eight Units,4,,,
100,1970,675687.10,F_822713_3025345,Beverly,MA,Two-Family Residential,2,,,
101,1880,968816.07,F_822572_3025333,Beverly,MA,Three-Family Residential,3,,,
102,1875,918287.53,F_822584_3025240,Beverly,MA,Three-Family Residential,3,,,
103,1900,1244397.46,F_822677_3025252,Beverly,MA,Apartments with Four to Eight Units,4,,,
104,1900,1513213.53,F_822767_3025264,Beverly,MA,Apartments with Four to Eight Units,6,,,
105,1900,1243340.38,F_822825_3025272,Beverly,MA,Apartments with Four to Eight Units,4,,,
106,1900,906448.20,F_822139_3026238,Beverly,MA,Two-Family Residential,2,,,
107,1900,1694503.17,F_822889_3025277,Beverly,MA,Apartments with Four to Eight Units,5,,,
108,1885,2009408.03,F_822966_3025285,Beverly,MA,Apartments with Four to Eight Units,4,,,
109,1900,1802431.29,F_823284_3025306,Beverly,MA,Apartments with Four to Eight Units,6,,,
110,1890,910253.70,F_822173_3026228,Beverly,MA,Three-Family Residential,3,,,
111,1862,852114.16,F_822882_3025863,Beverly,MA,Two-Family Residential,2,,,
112,1900,812262.16,F_822846_3025903,Beverly,MA,Two-Family Residential,2,,,
113,1880,799260.04,F_822800_3025916,Beverly,MA,Two-Family Residential,2,,,
114,1880,789852.01,F_822805_3025855,Beverly,MA,Two-Family Residential,2,,,
115,1910,792494.71,F_822762_3025807,Beverly,MA,Two-Family Residential,2,,,
116,1880,907399.58,F_822808_3025795,Beverly,MA,Three-Family Residential,3,,,
117,1900,883826.64,F_822856_3025774,Beverly,MA,Three-Family Residential,3,,,
118,1900,838689.22,F_822903_3025762,Beverly,MA,Three-Family Residential,3,,,
119,1900,1244926.00,F_822961_3025762,Beverly,MA,Apartments with Four to Eight Units,5,,,
120,1880,1750000.00,F_823018_3025644,Beverly,MA,Apartments with Four to Eight Units,6,,,
121,1880,1063319.24,F_823073_3025635,Beverly,MA,Three-Family Residential,3,,,
