unit_id,property_id,unit_number,beds,adjusted_rent,baths,base_rent
1,1,1,3,3200.00,,3200.00
2,1,2,3,3200.00,,3200.00
3,2,1,2,2700.00,,2700.00
4,2,2,2,2700.00,,2700.00
5,3,1,3,3200.00,,3200.00
6,3,2,3,3200.00,,3200.00
7,4,1,2,2700.00,,2700.00
8,4,2,2,2700.00,,2700.00
9,5,1,3,3200.00,,3200.00
10,5,2,2,2700.00,,2700.00
11,6,1,3,3200.00,,3200.00
12,6,2,2,2700.00,,2700.00
13,7,1,1,2295.00,,2295.00
14,7,2,1,2295.00,,2295.00
15,7,3,1,2295.00,,2295.00
16,7,4,1,2295.00,,2295.00
17,8,1,1,2295.00,,2295.00
18,8,2,1,2295.00,,2295.00
19,9,1,1,2295.00,,2295.00
20,9,2,1,2295.00,,2295.00
21,9,3,1,2295.00,,2295.00
22,10,1,1,2295.00,,2295.00
23,10,2,1,2295.00,,2295.00
24,10,3,0,2037.00,,2037.00
25,10,4,1,2295.00,,2295.00
26,11,1,2,2700.00,,2700.00
27,11,2,1,2295.00,,2295.00
28,12,1,3,3200.00,,3200.00
29,12,2,3,3200.00,,3200.00
30,13,1,4,4100.00,,4100.00
31,13,2,4,4100.00,,4100.00
32,14,1,1,2295.00,,2295.00
33,14,2,1,2295.00,,2295.00
34,15,1,2,2700.00,,2700.00
35,15,2,2,2700.00,,2700.00
36,15,3,2,2700.00,,2700.00
37,16,1,2,2700.00,,2700.00
38,16,2,1,2295.00,,2295.00
39,16,3,2,2700.00,,2700.00
40,17,1,2,2700.00,,2700.00
41,17,2,1,2295.00,,2295.00
42,17,3,2,2700.00,,2700.00
43,18,1,3,3200.00,,3200.00
44,18,2,2,2700.00,,2700.00
45,19,1,3,3200.00,,3200.00
46,19,2,4,4100.00,,4100.00
47,20,1,4,4100.00,,4100.00
48,20,2,3,3200.00,,3200.00
49,21,1,3,3200.00,,3200.00
50,21,2,2,2700.00,,2700.00
51,22,1,2,2700.00,,2700.00
52,22,2,2,2700.00,,2700.00
53,23,1,2,2700.00,,2700.00
54,23,2,2,2700.00,,2700.00
55,24,1,1,2295.00,,2295.00
56,24,2,1,2295.00,,2295.00
57,24,3,2,2700.00,,2700.00
58,25,1,3,3200.00,,3200.00
59,25,2,3,3200.00,,3200.00
60,26,1,3,3200.00,,3200.00
61,26,2,3,3200.00,,3200.00
62,27,1,3,3200.00,,3200.00
