property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
1,1948,657258.06,F_807337_3042917,Danvers,MA,Two-Family Residential,2,,,
2,1830,1098387.10,F_797912_3040344,Danvers,MA,Apartments with Four to Eight Units,4,,,
3,1847,1038018.43,F_798102_3040369,Danvers,MA,Three-Family Residential,3,,,
4,1880,1280990.78,F_798616_3040193,Danvers,MA,Apartments with Four to Eight Units,7,,,
5,1906,982603.69,F_804956_3041286,Danvers,MA,Two-Family Residential,2,,,
6,1910,911520.74,F_807115_3041555,Danvers,MA,Two-Family Residential,2,,,
7,1860,1002764.98,F_808739_3040960,Danvers,MA,Three-Family Residential,3,,,
8,1900,735483.87,F_799041_3038528,Danvers,MA,Three-Family Residential,3,,,
9,1765,1003917.05,F_807302_3039408,Danvers,MA,Two-Family Residential,2,,,
10,1863,1055875.58,F_807511_3039654,Danvers,MA,Two-Family Residential,2,,,
11,1925,702995.39,F_807867_3039204,Danvers,MA,Two-Family Residential,2,,,
12,1854,912442.40,F_811617_3038407,Danvers,MA,Two-Family Residential,2,,,
13,1765,953341.01,F_799777_3037418,Danvers,MA,Three-Family Residential,3,,,
14,1820,1361175.12,F_801277_3036453,Danvers,MA,Three-Family Residential,3,,,
15,1800,1954608.29,F_802285_3037995,Danvers,MA,Three-Family Residential,3,,,
16,1810,798963.13,F_802056_3036045,Danvers,MA,Two-Family Residential,2,,,
17,1900,700230.41,F_801974_3035704,Danvers,MA,Two-Family Residential,2,,,
18,1900,730645.16,F_801872_3035787,Danvers,MA,Two-Family Residential,2,,,
19,1920,960599.08,F_804746_3036089,Danvers,MA,Two-Family Residential,2,,,
20,1880,880299.54,F_807616_3035927,Danvers,MA,Two-Family Residential,2,,,
21,1900,1312442.40,F_807817_3036668,Danvers,MA,Three-Family Residential,3,,,
22,1900,752534.56,F_793292_3033718,Danvers,MA,Two-Family Residential,2,,,
23,1900,947695.85,F_793695_3033579,Danvers,MA,Three-Family Residential,3,,,
24,1890,870622.12,F_795051_3033448,Danvers,MA,Two-Family Residential,2,,,
25,1900,916474.65,F_796376_3034741,Danvers,MA,Two-Family Residential,2,,,
26,1900,917626.73,F_802230_3035474,Danvers,MA,Two-Family Residential,2,,,
27,1850,778456.22,F_801338_3034877,Danvers,MA,Two-Family Residential,2,,,
28,1861,865322.58,F_805080_3034347,Danvers,MA,Three-Family Residential,3,,,
29,1847,732373.27,F_804482_3034172,Danvers,MA,Two-Family Residential,2,,,
30,1850,825806.45,F_804236_3034264,Danvers,MA,Two-Family Residential,2,,,
31,1915,852649.77,F_803574_3034405,Danvers,MA,Two-Family Residential,2,,,
32,1858,926728.11,F_803933_3033967,Danvers,MA,Two-Family Residential,2,,,
33,1920,927649.77,F_803944_3033673,Danvers,MA,Two-Family Residential,2,,,
34,1910,912672.81,F_804353_3033394,Danvers,MA,Two-Family Residential,2,,,
35,1955,747119.82,F_806041_3033369,Danvers,MA,Two-Family Residential,2,,,
36,1940,834792.63,F_806259_3033500,Danvers,MA,Two-Family Residential,2,,,
37,1905,803686.64,F_805922_3033833,Danvers,MA,Two-Family Residential,2,,,
38,1810,781797.24,F_806093_3033921,Danvers,MA,Two-Family Residential,2,,,
39,1900,712442.40,F_805878_3033863,Danvers,MA,Two-Family Residential,2,,,
40,1750,1168317.97,F_805700_3034278,Danvers,MA,Two-Family Residential,2,,,
