unit_id,property_id,unit_number,beds,adjusted_rent,baths,base_rent
1,1,1,1,1962.00,,1962.00
2,1,2,1,1962.00,,1962.00
3,2,1,2,2906.00,,2906.00
4,2,2,2,2906.00,,2906.00
5,2,3,2,2906.00,,2906.00
6,2,4,2,2906.00,,2906.00
7,3,1,3,3598.00,,3598.00
8,3,2,3,3598.00,,3598.00
9,3,3,3,3598.00,,3598.00
10,4,1,1,1962.00,,1962.00
11,4,2,1,1962.00,,1962.00
12,4,3,0,1668.00,,1668.00
13,4,4,0,1668.00,,1668.00
14,4,5,1,1962.00,,1962.00
15,4,6,0,1668.00,,1668.00
16,4,7,0,1668.00,,1668.00
17,5,1,4,4290.00,,4290.00
18,5,2,3,3598.00,,3598.00
19,6,1,3,3598.00,,3598.00
20,6,2,3,3598.00,,3598.00
21,7,1,3,3598.00,,3598.00
22,7,2,3,3598.00,,3598.00
23,7,3,3,3598.00,,3598.00
24,8,1,1,1962.00,,1962.00
25,8,2,1,1962.00,,1962.00
26,8,3,1,1962.00,,1962.00
27,9,1,3,3598.00,,3598.00
28,9,2,3,3598.00,,3598.00
29,10,1,4,4290.00,,4290.00
30,10,2,4,4290.00,,4290.00
31,11,1,3,3598.00,,3598.00
32,11,2,3,3598.00,,3598.00
33,12,1,2,2906.00,,2906.00
34,12,2,2,2906.00,,2906.00
35,13,1,3,3598.00,,3598.00
36,13,2,2,2906.00,,2906.00
37,13,3,2,2906.00,,2906.00
38,14,1,4,4290.00,,4290.00
39,14,2,4,4290.00,,4290.00
40,14,3,3,3598.00,,3598.00
41,15,1,5,4982.00,,4982.00
42,15,2,5,4982.00,,4982.00
43,15,3,5,4982.00,,4982.00
44,16,1,2,2906.00,,2906.00
45,16,2,2,2906.00,,2906.00
46,17,1,2,2906.00,,2906.00
47,17,2,1,1962.00,,1962.00
48,18,1,2,2906.00,,2906.00
49,18,2,1,1962.00,,1962.00
50,19,1,3,3598.00,,3598.00
51,19,2,3,3598.00,,3598.00
52,20,1,3,3598.00,,3598.00
53,20,2,3,3598.00,,3598.00
54,21,1,4,4290.00,,4290.00
55,21,2,3,3598.00,,3598.00
56,21,3,4,4290.00,,4290.00
57,22,1,3,3598.00,,3598.00
58,22,2,3,3598.00,,3598.00
59,23,1,1,1962.00,,1962.00
60,23,2,2,2906.00,,2906.00
61,23,3,2,2906.00,,2906.00
62,24,1,2,2906.00,,2906.00
63,24,2,2,2906.00,,2906.00
64,25,1,2,2906.00,,2906.00
65,25,2,2,2906.00,,2906.00
66,26,1,3,3598.00,,3598.00
67,26,2,3,3598.00,,3598.00
68,27,1,2,2906.00,,2906.00
69,27,2,2,2906.00,,2906.00
70,28,1,2,2906.00,,2906.00
71,28,2,1,1962.00,,1962.00
72,28,3,2,2906.00,,2906.00
73,29,1,1,1962.00,,1962.00
74,29,2,2,2906.00,,2906.00
75,30,1,2,2906.00,,2906.00
76,30,2,2,2906.00,,2906.00
77,31,1,3,3598.00,,3598.00
78,31,2,3,3598.00,,3598.00
79,32,1,3,3598.00,,3598.00
80,32,2,3,3598.00,,3598.00
81,33,1,3,3598.00,,3598.00
82,33,2,3,3598.00,,3598.00
83,34,1,4,4290.00,,4290.00
84,34,2,4,4290.00,,4290.00
85,35,1,2,2906.00,,2906.00
86,35,2,2,2906.00,,2906.00
87,36,1,2,2906.00,,2906.00
88,36,2,3,3598.00,,3598.00
89,37,1,2,2906.00,,2906.00
90,37,2,3,3598.00,,3598.00
91,38,1,2,2906.00,,2906.00
92,38,2,2,2906.00,,2906.00
93,39,1,2,2906.00,,2906.00
94,39,2,3,3598.00,,3598.00
95,40,1,5,4982.00,,4982.00
96,40,2,4,4290.00,,4290.00
97,41,1,2,2906.00,,2906.00
98,41,2,2,2906.00,,2906.00
99,41,3,2,2906.00,,2906.00
100,42,1,3,3598.00,,3598.00
101,42,2,3,3598.00,,3598.00
102,43,1,2,2906.00,,2906.00
103,43,2,2,2906.00,,2906.00
104,43,3,2,2906.00,,2906.00
105,44,1,1,1962.00,,1962.00
106,44,2,1,1962.00,,1962.00
107,44,3,1,1962.00,,1962.00
108,45,1,2,2906.00,,2906.00
109,45,2,2,2906.00,,2906.00
110,46,1,3,3598.00,,3598.00
111,46,2,2,2906.00,,2906.00
112,46,3,3,3598.00,,3598.00
113,47,1,3,3598.00,,3598.00
114,47,2,2,2906.00,,2906.00
115,47,3,2,2906.00,,2906.00
116,48,1,4,4290.00,,4290.00
117,48,2,3,3598.00,,3598.00
118,49,1,3,3598.00,,3598.00
119,49,2,3,3598.00,,3598.00
120,50,1,3,3598.00,,3598.00
121,50,2,3,3598.00,,3598.00
122,50,3,3,3598.00,,3598.00
123,51,1,3,3598.00,,3598.00
124,51,2,4,4290.00,,4290.00
125,52,1,3,3598.00,,3598.00
126,52,2,3,3598.00,,3598.00
127,53,1,4,4290.00,,4290.00
128,53,2,4,4290.00,,4290.00
129,53,3,4,4290.00,,4290.00
130,54,1,3,3598.00,,3598.00
131,54,2,3,3598.00,,3598.00
132,55,1,3,3598.00,,3598.00
133,55,2,3,3598.00,,3598.00
134,56,1,2,2906.00,,2906.00
135,56,2,1,1962.00,,1962.00
136,56,3,1,1962.00,,1962.00
137,57,1,2,2906.00,,2906.00
138,57,2,3,3598.00,,3598.00
139,58,1,4,4290.00,,4290.00
140,58,2,3,3598.00,,3598.00
141,58,3,4,4290.00,,4290.00
142,59,1,2,2906.00,,2906.00
143,59,2,2,2906.00,,2906.00
144,60,1,2,2906.00,,2906.00
145,60,2,1,1962.00,,1962.00
146,60,3,2,2906.00,,2906.00
147,60,4,2,2906.00,,2906.00
148,61,1,2,2906.00,,2906.00
149,61,2,2,2906.00,,2906.00
150,62,1,2,2906.00,,2906.00
151,62,2,2,2906.00,,2906.00
152,63,1,2,2906.00,,2906.00
153,63,2,2,2906.00,,2906.00
154,63,3,2,2906.00,,2906.00
155,63,4,2,2906.00,,2906.00
156,64,1,1,1962.00,,1962.00
157,64,2,1,1962.00,,1962.00
158,64,3,2,2906.00,,2906.00
159,65,1,3,3598.00,,3598.00
160,65,2,4,4290.00,,4290.00
161,65,3,4,4290.00,,4290.00
162,66,1,1,1962.00,,1962.00
163,66,2,2,2906.00,,2906.00
164,66,3,2,2906.00,,2906.00
165,66,4,1,1962.00,,1962.00
166,67,1,1,1962.00,,1962.00
167,67,2,1,1962.00,,1962.00
168,67,3,1,1962.00,,1962.00
169,67,4,1,1962.00,,1962.00
170,68,1,3,3598.00,,3598.00
171,68,2,3,3598.00,,3598.00
172,69,1,3,3598.00,,3598.00
173,69,2,3,3598.00,,3598.00
174,70,1,3,3598.00,,3598.00
175,70,2,3,3598.00,,3598.00
176,71,1,1,1962.00,,1962.00
177,71,2,1,1962.00,,1962.00
178,72,1,2,2906.00,,2906.00
179,72,2,2,2906.00,,2906.00
180,73,1,3,3598.00,,3598.00
181,73,2,3,3598.00,,3598.00
182,74,1,3,3598.00,,3598.00
183,74,2,3,3598.00,,3598.00
184,75,1,2,2906.00,,2906.00
185,75,2,2,2906.00,,2906.00
186,75,3,2,2906.00,,2906.00
187,76,1,3,3598.00,,3598.00
188,76,2,2,2906.00,,2906.00
189,77,1,2,2906.00,,2906.00
190,77,2,1,1962.00,,1962.00
191,77,3,1,1962.00,,1962.00
192,78,1,2,2906.00,,2906.00
193,78,2,2,2906.00,,2906.00
194,79,1,2,2906.00,,2906.00
195,79,2,2,2906.00,,2906.00
196,80,1,1,1962.00,,1962.00
197,80,2,0,1668.00,,1668.00
198,80,3,1,1962.00,,1962.00
199,80,4,0,1668.00,,1668.00
200,81,1,2,2906.00,,2906.00
201,81,2,3,3598.00,,3598.00
202,82,1,2,2906.00,,2906.00
203,82,2,3,3598.00,,3598.00
204,83,1,3,3598.00,,3598.00
205,83,2,3,3598.00,,3598.00
206,84,1,3,3598.00,,3598.00
207,84,2,3,3598.00,,3598.00
208,85,1,1,1962.00,,1962.00
209,85,2,1,1962.00,,1962.00
210,86,1,2,2906.00,,2906.00
211,86,2,2,2906.00,,2906.00
212,87,1,4,4290.00,,4290.00
213,87,2,3,3598.00,,3598.00
214,88,1,3,3598.00,,3598.00
215,88,2,3,3598.00,,3598.00
216,89,1,2,2906.00,,2906.00
217,89,2,2,2906.00,,2906.00
218,90,1,3,3598.00,,3598.00
219,90,2,4,4290.00,,4290.00
220,91,1,1,1962.00,,1962.00
221,91,2,1,1962.00,,1962.00
222,92,1,2,2906.00,,2906.00
223,92,2,2,2906.00,,2906.00
224,93,1,2,2906.00,,2906.00
225,93,2,2,2906.00,,2906.00
226,94,1,2,2906.00,,2906.00
227,94,2,2,2906.00,,2906.00
228,94,3,2,2906.00,,2906.00
229,95,1,2,2906.00,,2906.00
230,95,2,2,2906.00,,2906.00
231,95,3,2,2906.00,,2906.00
232,95,4,2,2906.00,,2906.00
233,95,5,2,2906.00,,2906.00
234,95,6,1,1962.00,,1962.00
235,95,7,2,2906.00,,2906.00
236,95,8,2,2906.00,,2906.00
237,96,1,1,1962.00,,1962.00
238,96,2,1,1962.00,,1962.00
239,97,1,2,2906.00,,2906.00
240,97,2,2,2906.00,,2906.00
241,98,1,1,1962.00,,1962.00
242,98,2,1,1962.00,,1962.00
243,98,3,1,1962.00,,1962.00
244,98,4,1,1962.00,,1962.00
245,98,5,1,1962.00,,1962.00
246,98,6,1,1962.00,,1962.00
247,99,1,2,2906.00,,2906.00
248,99,2,2,2906.00,,2906.00
249,100,1,1,1962.00,,1962.00
250,100,2,1,1962.00,,1962.00
251,100,3,1,1962.00,,1962.00
252,100,4,1,1962.00,,1962.00
253,101,1,2,2906.00,,2906.00
254,101,2,3,3598.00,,3598.00
255,102,1,4,4290.00,,4290.00
256,102,2,4,4290.00,,4290.00
257,103,1,2,2906.00,,2906.00
258,103,2,3,3598.00,,3598.00
259,103,3,3,3598.00,,3598.00
260,103,4,3,3598.00,,3598.00
261,103,5,2,2906.00,,2906.00
262,103,6,3,3598.00,,3598.00
263,104,1,3,3598.00,,3598.00
264,104,2,3,3598.00,,3598.00
265,105,1,3,3598.00,,3598.00
266,105,2,3,3598.00,,3598.00
267,106,1,2,2906.00,,2906.00
268,106,2,2,2906.00,,2906.00
269,107,1,3,3598.00,,3598.00
270,107,2,3,3598.00,,3598.00
271,108,1,2,2906.00,,2906.00
272,108,2,3,3598.00,,3598.00
273,109,1,2,2906.00,,2906.00
274,109,2,2,2906.00,,2906.00
275,110,1,3,3598.00,,3598.00
276,110,2,3,3598.00,,3598.00
277,111,1,4,4290.00,,4290.00
278,111,2,4,4290.00,,4290.00
279,112,1,3,3598.00,,3598.00
280,112,2,2,2906.00,,2906.00
281,113,1,4,4290.00,,4290.00
282,113,2,3,3598.00,,3598.00
283,114,1,4,4290.00,,4290.00
284,114,2,4,4290.00,,4290.00
285,115,1,3,3598.00,,3598.00
286,115,2,3,3598.00,,3598.00
287,116,1,2,2906.00,,2906.00
288,116,2,2,2906.00,,2906.00
289,116,3,2,2906.00,,2906.00
290,117,1,3,3598.00,,3598.00
291,117,2,3,3598.00,,3598.00
292,118,1,3,3598.00,,3598.00
293,118,2,3,3598.00,,3598.00
294,119,1,2,2906.00,,2906.00
295,119,2,2,2906.00,,2906.00
296,119,3,2,2906.00,,2906.00
297,120,1,2,2906.00,,2906.00
298,120,2,2,2906.00,,2906.00
299,121,1,2,2906.00,,2906.00
300,121,2,2,2906.00,,2906.00
301,122,1,2,2906.00,,2906.00
302,122,2,2,2906.00,,2906.00
303,123,1,2,2906.00,,2906.00
304,123,2,2,2906.00,,2906.00
305,123,3,2,2906.00,,2906.00
306,124,1,3,3598.00,,3598.00
307,124,2,3,3598.00,,3598.00
308,125,1,3,3598.00,,3598.00
309,125,2,3,3598.00,,3598.00
310,126,1,1,1962.00,,1962.00
311,126,2,1,1962.00,,1962.00
312,126,3,1,1962.00,,1962.00
313,126,4,1,1962.00,,1962.00
314,127,1,1,1962.00,,1962.00
315,127,2,2,2906.00,,2906.00
