property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
1,1900,919889.50,M_242654_912103,Lynn,MA,Three-Family Residential,3,,,
2,1900,997403.31,M_242668_912086,Lynn,MA,Two-Family Residential,2,,,
3,1910,978386.74,M_242364_912491,Lynn,MA,Two-Family Residential,2,,,
4,1915,943889.50,M_242379_912492,Lynn,MA,Two-Family Residential,2,,,
5,1900,720121.55,M_242375_912411,Lynn,MA,Two-Family Residential,2,,,
6,1880,727414.36,M_242377_912375,Lynn,MA,Two-Family Residential,2,,,
7,1920,983867.40,M_242407_912496,Lynn,MA,Three-Family Residential,3,,,
8,1920,796795.58,M_242436_912486,Lynn,MA,Two-Family Residential,2,,,
9,1800,759524.86,M_242072_912322,Lynn,MA,Two-Family Residential,2,,,
10,1933,644232.04,M_242079_912334,Lynn,MA,Two-Family Residential,3,,,
11,1837,891845.30,M_242080_912351,Lynn,MA,Two-Family Residential,2,,,
12,1910,960110.50,M_242096_912367,Lynn,MA,Three-Family Residential,3,,,
13,1983,790718.23,M_242272_912440,Lynn,MA,Two-Family Residential,2,,,
14,1920,1010629.83,M_242293_912493,Lynn,MA,Two-Family Residential,2,,,
15,1880,889149.17,M_242237_912432,Lynn,MA,Two-Family Residential,2,,,
16,1986,715337.02,M_242243_912410,Lynn,MA,Two-Family Residential,2,,,
17,1806,794265.19,M_242111_912386,Lynn,MA,Two-Family Residential,2,,,
18,1920,903524.86,M_242482_912548,Lynn,MA,Two-Family Residential,3,,,
19,1900,778232.04,M_242327_912532,Lynn,MA,Two-Family Residential,2,,,
20,1900,816464.09,M_242283_912560,Lynn,MA,Three-Family Residential,3,,,
21,1910,727690.61,M_242255_912585,Lynn,MA,Two-Family Residential,2,,,
22,1900,612033.15,M_242253_912600,Lynn,MA,Two-Family Residential,2,,,
23,1900,746475.14,M_242247_912532,Lynn,MA,Two-Family Residential,2,,,
24,1910,897259.67,M_242099_912480,Lynn,MA,Two-Family Residential,2,,,
25,2022,1589392.27,M_242124_912545,Lynn,MA,Two-Family Residential,2,,,
26,1950,1958563.54,M_242155_912565,Lynn,MA,Two-Family Residential,2,,,
27,1991,800110.50,M_242020_912445,Lynn,MA,Two-Family Residential,2,,,
28,1991,840662.98,M_242002_912482,Lynn,MA,Two-Family Residential,2,,,
29,1900,840475.14,M_242032_912475,Lynn,MA,Two-Family Residential,2,,,
30,1929,933690.61,M_242205_912603,Lynn,MA,Two-Family Residential,2,,,
31,1983,832928.18,M_241776_913153,Lynn,MA,Two-Family Residential,2,,,
32,1976,54793922.65,M_242007_913222,Lynn,MA,Affordable Housing Units (Greater than 50% of the units qualify),4,,,
33,1984,764464.09,M_242092_913404,Lynn,MA,Two-Family Residential,2,,,
34,1984,772574.59,M_242102_913386,Lynn,MA,Two-Family Residential,2,,,
35,1984,792950.28,M_242120_913402,Lynn,MA,Two-Family Residential,2,,,
36,1900,695911.60,M_241952_913797,Lynn,MA,Two-Family Residential,2,,,
37,1948,889480.66,M_241788_913631,Lynn,MA,Two-Family Residential,2,,,
38,1975,674254.14,M_241815_913578,Lynn,MA,Two-Family Residential,2,,,
39,1975,709613.26,M_241812_913616,Lynn,MA,Two-Family Residential,2,,,
40,1975,770828.73,M_241839_913599,Lynn,MA,Two-Family Residential,2,,,
41,1890,683016.57,M_241635_913710,Lynn,MA,Two-Family Residential,2,,,
42,1983,1071933.70,M_241632_913644,Lynn,MA,Two-Family Residential,2,,,
43,1880,849812.15,M_241876_913876,Lynn,MA,Two-Family Residential,2,,,
44,1875,894740.33,M_243476_912056,Lynn,MA,Two-Family Residential,2,,,
45,1900,687734.81,M_243413_911974,Lynn,MA,Two-Family Residential,2,,,
46,1900,977569.06,M_243347_911921,Lynn,MA,Three-Family Residential,3,,,
47,1890,654828.73,M_243427_911988,Lynn,MA,Two-Family Residential,2,,,
48,1916,684408.84,M_243099_911652,Lynn,MA,Two-Family Residential,2,,,
49,1900,766618.78,M_243071_911718,Lynn,MA,Two-Family Residential,2,,,
50,1905,704950.28,M_243168_911816,Lynn,MA,Two-Family Residential,2,,,
51,1900,712486.19,M_243179_911827,Lynn,MA,Three-Family Residential,3,,,
52,1910,823049.72,M_243205_911852,Lynn,MA,Two-Family Residential,2,,,
53,1900,918674.03,M_243215_911862,Lynn,MA,Three-Family Residential,3,,,
54,1850,735248.62,M_243226_911873,Lynn,MA,Three-Family Residential,3,,,
55,1901,1744640.88,M_243254_911890,Lynn,MA,Apartments with Four to Eight Units,6,,,
56,1870,811558.01,M_243184_911799,Lynn,MA,Two-Family Residential,2,,,
57,1870,899116.02,M_243142_911756,Lynn,MA,Three-Family Residential,3,,,
58,1900,867845.30,M_243131_911745,Lynn,MA,Three-Family Residential,3,,,
59,1920,1039834.25,M_243089_911702,Lynn,MA,Apartments with Four to Eight Units,2,,,
60,1900,824861.88,M_243079_911690,Lynn,MA,Three-Family Residential,3,,,
61,1890,912486.19,M_243057_911668,Lynn,MA,Three-Family Residential,3,,,
62,1900,640541.44,M_243237_911914,Lynn,MA,Two-Family Residential,2,,,
63,1910,955359.12,M_243262_911922,Lynn,MA,Three-Family Residential,3,,,
64,1900,953701.66,M_242952_911726,Lynn,MA,Apartments with Four to Eight Units,4,,,
65,1900,835591.16,M_242955_911767,Lynn,MA,Two-Family Residential,2,,,
66,1875,768265.19,M_242975_911758,Lynn,MA,Two-Family Residential,2,,,
67,1870,714441.99,M_243090_911796,Lynn,MA,Two-Family Residential,2,,,
68,1900,700972.38,M_243073_911813,Lynn,MA,Two-Family Residential,2,,,
69,1930,786099.45,M_243054_911802,Lynn,MA,Two-Family Residential,2,,,
70,1920,767027.62,M_243053_911774,Lynn,MA,Two-Family Residential,2,,,
71,1925,908762.43,M_243024_911788,Lynn,MA,Two-Family Residential,2,,,
72,1880,1052154.70,M_242982_911646,Lynn,MA,Apartments with Four to Eight Units,6,,,
73,1900,901325.97,M_242994_911636,Lynn,MA,Apartments with Four to Eight Units,6,,,
74,1900,732784.53,M_243551_911862,Lynn,MA,Two-Family Residential,2,,,
75,1910,849613.26,M_243557_911931,Lynn,MA,Three-Family Residential,3,,,
76,1900,969723.76,M_243564_911922,Lynn,MA,Three-Family Residential,3,,,
77,1910,943867.40,M_243541_911959,Lynn,MA,Three-Family Residential,3,,,
78,1870,979911.60,M_243517_911988,Lynn,MA,Two-Family Residential,2,,,
79,1900,755469.61,M_243424_911923,Lynn,MA,Three-Family Residential,3,,,
80,2004,981215.47,M_243349_912099,Lynn,MA,Two-Family Residential,2,,,
81,1925,885082.87,M_243404_912126,Lynn,MA,Three-Family Residential,3,,,
