unit_id,property_id,unit_number,beds,adjusted_rent,baths,base_rent
1,1,1,1,1950.00,,1950.00
2,1,2,2,2400.00,,2400.00
3,1,3,2,2400.00,,2400.00
4,2,1,3,2900.00,,2900.00
5,2,2,4,3200.00,,3200.00
6,3,1,3,2900.00,,2900.00
7,3,2,3,2900.00,,2900.00
8,4,1,4,3200.00,,3200.00
9,4,2,4,3200.00,,3200.00
10,5,1,3,2900.00,,2900.00
11,5,2,2,2400.00,,2400.00
12,6,1,2,2400.00,,2400.00
13,6,2,2,2400.00,,2400.00
14,7,1,3,2900.00,,2900.00
15,7,2,3,2900.00,,2900.00
16,7,3,3,2900.00,,2900.00
17,8,1,0,1700.00,,1700.00
18,8,2,1,1950.00,,1950.00
19,9,1,1,1950.00,,1950.00
20,9,2,2,2400.00,,2400.00
21,10,1,3,2900.00,,2900.00
22,10,2,2,2400.00,,2400.00
23,10,3,2,2400.00,,2400.00
24,11,1,3,2900.00,,2900.00
25,11,2,3,2900.00,,2900.00
26,12,1,2,2400.00,,2400.00
27,12,2,1,1950.00,,1950.00
28,12,3,2,2400.00,,2400.00
29,13,1,2,2400.00,,2400.00
30,13,2,2,2400.00,,2400.00
31,14,1,4,3200.00,,3200.00
32,14,2,4,3200.00,,3200.00
33,15,1,2,2400.00,,2400.00
34,15,2,2,2400.00,,2400.00
35,16,1,0,1700.00,,1700.00
36,16,2,0,1700.00,,1700.00
37,17,1,2,2400.00,,2400.00
38,17,2,2,2400.00,,2400.00
39,18,1,2,2400.00,,2400.00
40,18,2,1,1950.00,,1950.00
41,18,3,1,1950.00,,1950.00
42,19,1,3,2900.00,,2900.00
43,19,2,3,2900.00,,2900.00
44,20,1,2,2400.00,,2400.00
45,20,2,1,1950.00,,1950.00
46,20,3,2,2400.00,,2400.00
47,21,1,1,1950.00,,1950.00
48,21,2,1,1950.00,,1950.00
49,22,1,1,1950.00,,1950.00
50,22,2,2,2400.00,,2400.00
51,23,1,2,2400.00,,2400.00
52,23,2,2,2400.00,,2400.00
53,24,1,2,2400.00,,2400.00
54,24,2,2,2400.00,,2400.00
55,25,1,4,3200.00,,3200.00
56,25,2,5,3500.00,,3500.00
57,26,1,5,3500.00,,3500.00
58,26,2,5,3500.00,,3500.00
59,27,1,1,1950.00,,1950.00
60,27,2,2,2400.00,,2400.00
61,28,1,2,2400.00,,2400.00
62,28,2,1,1950.00,,1950.00
63,29,1,2,2400.00,,2400.00
64,29,2,3,2900.00,,2900.00
65,30,1,4,3200.00,,3200.00
66,30,2,4,3200.00,,3200.00
67,31,1,2,2400.00,,2400.00
68,31,2,1,1950.00,,1950.00
69,32,1,5,3500.00,,3500.00
70,32,2,5,3500.00,,3500.00
71,32,3,5,3500.00,,3500.00
72,32,4,5,3500.00,,3500.00
73,33,1,0,1700.00,,1700.00
74,33,2,0,1700.00,,1700.00
75,34,1,0,1700.00,,1700.00
76,34,2,0,1700.00,,1700.00
77,35,1,0,1700.00,,1700.00
78,35,2,0,1700.00,,1700.00
79,36,1,2,2400.00,,2400.00
80,36,2,3,2900.00,,2900.00
81,37,1,2,2400.00,,2400.00
82,37,2,2,2400.00,,2400.00
83,38,1,1,1950.00,,1950.00
84,38,2,1,1950.00,,1950.00
85,39,1,0,1700.00,,1700.00
86,39,2,0,1700.00,,1700.00
87,40,1,0,1700.00,,1700.00
