property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
1,1850,1827845.30,F_823639_3001634,Marblehead,MA,Two-Family Residential,2,,,
2,1965,886629.83,F_825475_3009242,Marblehead,MA,Two-Family Residential,2,,,
3,1850,1053701.66,F_828059_3007956,Marblehead,MA,Two-Family Residential,2,,,
4,1940,812707.18,F_828196_3008350,Marblehead,MA,Two-Family Residential,2,,,
5,1890,762320.44,F_828248_3008414,Marblehead,MA,Three-Family Residential,3,,,
6,1900,812817.68,F_828281_3008456,Marblehead,MA,Three-Family Residential,3,,,
7,1974,824972.38,F_828626_3008193,Marblehead,MA,Two-Family Residential,2,,,
8,1974,811491.71,F_828684_3008200,Marblehead,MA,Two-Family Residential,2,,,
9,1938,1005524.86,F_828567_3008400,Marblehead,MA,Two-Family Residential,2,,,
10,1930,653591.16,F_828448_3008499,Marblehead,MA,Two-Family Residential,2,,,
11,1930,734585.64,F_828358_3008351,Marblehead,MA,Two-Family Residential,2,,,
12,1960,1310386.74,F_828377_3007721,Marblehead,MA,Apartments with Four to Eight Units,6,,,
13,1977,856243.09,F_828259_3008039,Marblehead,MA,Two-Family Residential,2,,,
14,1977,788508.29,F_828307_3008075,Marblehead,MA,Two-Family Residential,2,,,
15,1977,766850.83,F_828505_3008072,Marblehead,MA,Two-Family Residential,2,,,
16,1940,842430.94,F_828424_3007966,Marblehead,MA,Two-Family Residential,2,,,
17,1900,1527182.32,F_828428_3007802,Marblehead,MA,Apartments with Four to Eight Units,6,,,
18,1960,853149.17,F_828553_3007619,Marblehead,MA,Apartments with Four to Eight Units,4,,,
19,1885,797679.56,F_828639_3007534,Marblehead,MA,Two-Family Residential,2,,,
20,1900,800883.98,F_828691_3007571,Marblehead,MA,Three-Family Residential,3,,,
21,1900,853701.66,F_828603_3007699,Marblehead,MA,Two-Family Residential,2,,,
22,1950,913701.66,F_828514_3007642,Marblehead,MA,Two-Family Residential,2,,,
23,1900,557790.06,F_829161_3007976,Marblehead,MA,Two-Family Residential,2,,,
24,1880,902099.45,F_829131_3007879,Marblehead,MA,Apartments with Four to Eight Units,4,,,
25,1900,628066.30,F_829059_3007781,Marblehead,MA,Two-Family Residential,2,,,
26,1880,733701.66,F_829028_3007740,Marblehead,MA,Three-Family Residential,3,,,
27,1910,1020441.99,F_828977_3007648,Marblehead,MA,Apartments with Four to Eight Units,4,,,
28,1690,836243.09,F_829037_3007527,Marblehead,MA,Two-Family Residential,2,,,
29,1900,699116.02,F_828701_3007436,Marblehead,MA,Two-Family Residential,2,,,
30,1978,891491.71,F_828875_3007327,Marblehead,MA,Two-Family Residential,2,,,
31,1910,813038.67,F_829663_3007331,Marblehead,MA,Three-Family Residential,3,,,
32,1920,824198.90,F_829646_3007421,Marblehead,MA,Three-Family Residential,4,,,
33,1895,706077.35,F_829421_3007306,Marblehead,MA,Two-Family Residential,2,,,
34,1910,753701.66,F_829527_3007496,Marblehead,MA,Two-Family Residential,2,,,
35,1900,808397.79,F_829104_3007181,Marblehead,MA,Two-Family Residential,2,,,
36,1747,1108397.79,F_828831_3007081,Marblehead,MA,Apartments with Four to Eight Units,4,,,
37,1970,1388176.80,F_828911_3007013,Marblehead,MA,Apartments with Four to Eight Units,4,,,
38,1880,707403.31,F_829072_3007428,Marblehead,MA,Two-Family Residential,2,,,
39,1880,666629.83,F_829065_3007303,Marblehead,MA,Two-Family Residential,2,,,
40,1920,910386.74,F_829153_3007398,Marblehead,MA,Three-Family Residential,3,,,
41,1910,753259.67,F_829454_3007143,Marblehead,MA,Two-Family Residential,2,,,
42,1937,1025966.85,F_829807_3006804,Marblehead,MA,Two-Family Residential,2,,,
43,1886,1123093.92,F_829704_3006898,Marblehead,MA,Two-Family Residential,2,,,
44,1900,904088.40,F_829594_3006998,Marblehead,MA,Two-Family Residential,2,,,
45,1970,768729.28,F_829952_3006796,Marblehead,MA,Two-Family Residential,2,,,
46,1910,824861.88,F_830155_3006795,Marblehead,MA,Two-Family Residential,2,,,
47,1880,706850.83,F_830327_3006855,Marblehead,MA,Two-Family Residential,2,,,
48,1958,809834.25,F_830374_3006835,Marblehead,MA,Apartments with Four to Eight Units,4,,,
49,1920,873149.17,F_830271_3006884,Marblehead,MA,Three-Family Residential,3,,,
50,1880,989944.75,F_830423_3006934,Marblehead,MA,Two-Family Residential,2,,,
51,1962,823977.90,F_829812_3007213,Marblehead,MA,Three-Family Residential,3,,,
52,1850,995801.10,F_829920_3007337,Marblehead,MA,Three-Family Residential,3,,,
53,1870,759447.51,F_830132_3007179,Marblehead,MA,Two-Family Residential,2,,,
54,1900,848176.80,F_830292_3007036,Marblehead,MA,Two-Family Residential,2,,,
55,1860,775469.61,F_830351_3007023,Marblehead,MA,Two-Family Residential,2,,,
