unit_id,property_id,unit_number,beds,adjusted_rent,baths,base_rent
1,1,1,5,6690.00,,6690.00
2,1,2,5,6690.00,,6690.00
3,2,1,2,2632.00,,2632.00
4,2,2,2,2632.00,,2632.00
5,3,1,2,2632.00,,2632.00
6,3,2,2,2632.00,,2632.00
7,4,1,3,4000.00,,4000.00
8,4,2,3,4000.00,,4000.00
9,5,1,1,2050.00,,2050.00
10,5,2,1,2050.00,,2050.00
11,5,3,1,2050.00,,2050.00
12,6,1,2,2632.00,,2632.00
13,6,2,2,2632.00,,2632.00
14,6,3,2,2632.00,,2632.00
15,7,1,4,5345.00,,5345.00
16,7,2,3,4000.00,,4000.00
17,8,1,3,4000.00,,4000.00
18,8,2,3,4000.00,,4000.00
19,9,1,2,2632.00,,2632.00
20,9,2,2,2632.00,,2632.00
21,10,1,3,4000.00,,4000.00
22,10,2,2,2632.00,,2632.00
23,11,1,2,2632.00,,2632.00
24,11,2,2,2632.00,,2632.00
25,12,1,1,2050.00,,2050.00
26,12,2,1,2050.00,,2050.00
27,12,3,2,2632.00,,2632.00
28,12,4,1,2050.00,,2050.00
29,12,5,2,2632.00,,2632.00
30,12,6,1,2050.00,,2050.00
31,13,1,3,4000.00,,4000.00
32,13,2,3,4000.00,,4000.00
33,14,1,3,4000.00,,4000.00
34,14,2,3,4000.00,,4000.00
35,15,1,3,4000.00,,4000.00
36,15,2,3,4000.00,,4000.00
37,16,1,2,2632.00,,2632.00
38,16,2,2,2632.00,,2632.00
39,17,1,2,2632.00,,2632.00
40,17,2,1,2050.00,,2050.00
41,17,3,2,2632.00,,2632.00
42,17,4,2,2632.00,,2632.00
43,17,5,1,2050.00,,2050.00
44,17,6,2,2632.00,,2632.00
45,18,1,1,2050.00,,2050.00
46,18,2,1,2050.00,,2050.00
47,18,3,1,2050.00,,2050.00
48,18,4,1,2050.00,,2050.00
49,19,1,3,4000.00,,4000.00
50,19,2,3,4000.00,,4000.00
51,20,1,3,4000.00,,4000.00
52,20,2,2,2632.00,,2632.00
53,20,3,3,4000.00,,4000.00
54,21,1,3,4000.00,,4000.00
55,21,2,2,2632.00,,2632.00
56,22,1,2,2632.00,,2632.00
57,22,2,3,4000.00,,4000.00
58,23,1,1,2050.00,,2050.00
59,23,2,2,2632.00,,2632.00
60,24,1,1,2050.00,,2050.00
61,24,2,1,2050.00,,2050.00
62,24,3,1,2050.00,,2050.00
63,24,4,1,2050.00,,2050.00
64,25,1,1,2050.00,,2050.00
65,25,2,2,2632.00,,2632.00
66,26,1,1,2050.00,,2050.00
67,26,2,1,2050.00,,2050.00
68,26,3,1,2050.00,,2050.00
69,27,1,2,2632.00,,2632.00
70,27,2,2,2632.00,,2632.00
71,27,3,2,2632.00,,2632.00
72,27,4,2,2632.00,,2632.00
73,28,1,2,2632.00,,2632.00
74,28,2,1,2050.00,,2050.00
75,29,1,3,4000.00,,4000.00
76,29,2,4,5345.00,,5345.00
77,30,1,4,5345.00,,5345.00
78,30,2,4,5345.00,,5345.00
79,31,1,2,2632.00,,2632.00
80,31,2,1,2050.00,,2050.00
81,31,3,1,2050.00,,2050.00
82,32,1,1,2050.00,,2050.00
83,32,2,1,2050.00,,2050.00
84,32,3,1,2050.00,,2050.00
85,32,4,1,2050.00,,2050.00
86,33,1,2,2632.00,,2632.00
87,33,2,2,2632.00,,2632.00
