property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
1,1955,800219.54,F_793595_3028123,Peabody,MA,Two-Family Residential,2,,,
2,1780,1398573.00,F_785786_3026184,Peabody,MA,Two-Family Residential,2,,,
3,1910,968825.47,F_792771_3025080,Peabody,MA,Two-Family Residential,2,,,
4,1900,830625.69,F_793378_3022790,Peabody,MA,Two-Family Residential,2,,,
5,1900,1162568.61,F_791847_3023172,Peabody,MA,Two-Family Residential,2,,,
6,1900,866191.00,F_798209_3022838,Peabody,MA,Two-Family Residential,2,,,
7,1988,940175.63,F_797605_3022564,Peabody,MA,Two-Family Residential,2,,,
8,1975,1138748.63,F_804462_3023216,Peabody,MA,Two-Family Residential,2,,,
9,2018,1492425.91,F_804329_3022993,Peabody,MA,Two-Family Residential,2,,,
10,1900,1336443.47,F_808287_3021711,Peabody,MA,Three-Family Residential,3,,,
11,1850,908342.48,F_808308_3023073,Peabody,MA,Two-Family Residential,2,,,
12,1910,959165.75,F_811730_3021629,Peabody,MA,Two-Family Residential,2,,,
13,1917,788474.20,F_811685_3022126,Peabody,MA,Two-Family Residential,2,,,
14,1925,878265.64,F_811608_3022354,Peabody,MA,Two-Family Residential,2,,,
15,1850,979802.41,F_809759_3021734,Peabody,MA,Three-Family Residential,3,,,
16,1910,1029747.53,F_812701_3021604,Peabody,MA,Three-Family Residential,3,,,
17,1920,1017563.12,F_812821_3021725,Peabody,MA,Apartments with Four to Eight Units,4,,,
18,1926,782656.42,F_812587_3021685,Peabody,MA,Two-Family Residential,2,,,
19,1920,932930.85,F_812537_3021676,Peabody,MA,Three-Family Residential,3,,,
20,1920,793962.68,F_812413_3021808,Peabody,MA,Two-Family Residential,2,,,
21,1935,782327.11,F_812397_3021907,Peabody,MA,Two-Family Residential,2,,,
22,1920,1076619.10,F_812739_3022185,Peabody,MA,Three-Family Residential,3,,,
23,1950,658726.67,F_812392_3022277,Peabody,MA,Two-Family Residential,2,,,
24,1925,737760.70,F_812623_3022919,Peabody,MA,Two-Family Residential,2,,,
25,1900,751920.97,F_812083_3023021,Peabody,MA,Two-Family Residential,2,,,
26,1958,1063007.68,F_793235_3021320,Peabody,MA,Two-Family Residential,2,,,
27,1958,892864.98,F_802585_3019923,Peabody,MA,Two-Family Residential,2,,,
28,1890,824149.29,F_805145_3019756,Peabody,MA,Two-Family Residential,2,,,
29,1977,778924.26,F_805856_3019937,Peabody,MA,Two-Family Residential,2,,,
30,1977,768715.70,F_806562_3019796,Peabody,MA,Two-Family Residential,2,,,
31,1977,731942.92,F_805885_3020129,Peabody,MA,Two-Family Residential,2,,,
32,1977,1112843.03,F_805805_3020129,Peabody,MA,Two-Family Residential,2,,,
33,1977,751701.43,F_805733_3020110,Peabody,MA,Two-Family Residential,2,,,
34,1977,874423.71,F_805654_3020068,Peabody,MA,Two-Family Residential,2,,,
35,1930,1541931.94,F_808860_3021453,Peabody,MA,Three-Family Residential,3,,,
36,1907,1001536.77,F_808925_3021077,Peabody,MA,Two-Family Residential,2,,,
37,1915,1520307.35,F_809235_3021085,Peabody,MA,Two-Family Residential,2,,,
38,1925,998682.77,F_809132_3020962,Peabody,MA,Two-Family Residential,2,,,
