unit_id,property_id,unit_number,beds,adjusted_rent,baths,base_rent
1,1,1,1,2253.00,,2253.00
2,1,2,1,2253.00,,2253.00
3,2,1,4,3650.00,,3650.00
4,2,2,5,4100.00,,4100.00
5,3,1,3,3200.00,,3200.00
6,3,2,2,2750.00,,2750.00
7,4,1,2,2750.00,,2750.00
8,4,2,2,2750.00,,2750.00
9,5,1,4,3650.00,,3650.00
10,5,2,4,3650.00,,3650.00
11,6,1,2,2750.00,,2750.00
12,6,2,2,2750.00,,2750.00
13,7,1,3,3200.00,,3200.00
14,7,2,3,3200.00,,3200.00
15,8,1,3,3200.00,,3200.00
16,8,2,4,3650.00,,3650.00
17,9,1,4,3650.00,,3650.00
18,9,2,4,3650.00,,3650.00
19,10,1,4,3650.00,,3650.00
20,10,2,3,3200.00,,3200.00
21,10,3,3,3200.00,,3200.00
22,11,1,3,3200.00,,3200.00
23,11,2,3,3200.00,,3200.00
24,12,1,3,3200.00,,3200.00
25,12,2,3,3200.00,,3200.00
26,13,1,3,3200.00,,3200.00
27,13,2,3,3200.00,,3200.00
28,14,1,3,3200.00,,3200.00
29,14,2,3,3200.00,,3200.00
30,15,1,3,3200.00,,3200.00
31,15,2,3,3200.00,,3200.00
32,15,3,3,3200.00,,3200.00
33,16,1,2,2750.00,,2750.00
34,16,2,2,2750.00,,2750.00
35,16,3,2,2750.00,,2750.00
36,17,1,2,2750.00,,2750.00
37,17,2,2,2750.00,,2750.00
38,17,3,2,2750.00,,2750.00
39,17,4,2,2750.00,,2750.00
40,18,1,2,2750.00,,2750.00
41,18,2,2,2750.00,,2750.00
42,19,1,3,3200.00,,3200.00
43,19,2,3,3200.00,,3200.00
44,19,3,2,2750.00,,2750.00
45,20,1,3,3200.00,,3200.00
46,20,2,2,2750.00,,2750.00
47,21,1,3,3200.00,,3200.00
48,21,2,2,2750.00,,2750.00
49,22,1,3,3200.00,,3200.00
50,22,2,3,3200.00,,3200.00
51,22,3,3,3200.00,,3200.00
52,23,1,1,2253.00,,2253.00
53,23,2,1,2253.00,,2253.00
54,24,1,2,2750.00,,2750.00
55,24,2,2,2750.00,,2750.00
56,25,1,1,2253.00,,2253.00
57,25,2,2,2750.00,,2750.00
