property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
1,1950,637442.40,M_246727_916344,Salem,MA,Two-Family Residential,2,,,
2,2023,975576.04,M_246703_916314,Salem,MA,Two-Family Residential,2,,,
3,2022,964746.54,M_246683_916290,Salem,MA,Two-Family Residential,2,,,
4,2022,1012096.77,M_246659_916263,Salem,MA,Two-Family Residential,2,,,
5,2022,1005529.95,M_246663_916221,Salem,MA,Two-Family Residential,2,,,
6,1967,816705.07,M_247160_916936,Salem,MA,Two-Family Residential,2,,,
7,1962,749193.55,M_247308_917341,Salem,MA,Two-Family Residential,2,,,
8,1990,670506.91,M_247093_916895,Salem,MA,Two-Family Residential,2,,,
9,2020,1163018.43,M_246924_917147,Salem,MA,Two-Family Residential,2,,,
10,1958,823502.30,M_247017_917722,Salem,MA,Two-Family Residential,2,,,
11,1960,698271.89,M_247168_917899,Salem,MA,Two-Family Residential,2,,,
12,1927,936405.53,M_247107_918357,Salem,MA,Two-Family Residential,2,,,
13,1930,907373.27,M_247188_918466,Salem,MA,Two-Family Residential,2,,,
14,1920,622465.44,M_247221_918412,Salem,MA,Two-Family Residential,2,,,
15,1920,821428.57,M_247461_918715,Salem,MA,Two-Family Residential,2,,,
16,1905,353917.05,M_247456_918789,Salem,MA,Two-Family Residential,2,,,
17,1904,1114400.92,M_247513_918748,Salem,MA,Three-Family Residential,3,,,
18,1853,675460.83,M_247572_918910,Salem,MA,Two-Family Residential,2,,,
19,1870,443433.18,M_247625_918985,Salem,MA,Two-Family Residential,2,,,
20,1870,773156.68,M_247628_918970,Salem,MA,Two-Family Residential,2,,,
21,1870,802880.18,M_247660_918885,Salem,MA,Two-Family Residential,2,,,
22,1920,682834.10,M_247736_918899,Salem,MA,Two-Family Residential,2,,,
23,1920,819009.22,M_247721_918937,Salem,MA,Three-Family Residential,3,,,
24,1900,748502.30,M_247698_919021,Salem,MA,Two-Family Residential,2,,,
25,1964,755645.16,M_247437_918328,Salem,MA,Two-Family Residential,2,,,
26,1940,693317.97,M_247205_918359,Salem,MA,Two-Family Residential,2,,,
27,1969,817626.73,M_247918_918261,Salem,MA,Two-Family Residential,2,,,
28,1955,710023.04,M_248449_917923,Salem,MA,Two-Family Residential,2,,,
29,1929,726728.11,M_248429_917963,Salem,MA,Two-Family Residential,2,,,
30,1890,840668.20,M_248426_918157,Salem,MA,Apartments with Four to Eight Units,4,,,
31,1900,715322.58,M_248610_918172,Salem,MA,Three-Family Residential,3,,,
32,1915,722811.06,M_248620_918183,Salem,MA,Two-Family Residential,2,,,
33,1915,922465.44,M_248670_918255,Salem,MA,Three-Family Residential,3,,,
34,1940,787788.02,M_248541_917975,Salem,MA,Two-Family Residential,2,,,
35,1940,603801.84,M_248553_917984,Salem,MA,Two-Family Residential,2,,,
36,1959,630760.37,M_248630_917902,Salem,MA,Two-Family Residential,2,,,
37,1930,1010253.46,M_248574_917893,Salem,MA,Three-Family Residential,3,,,
38,1920,755069.12,M_248305_917745,Salem,MA,Two-Family Residential,2,,,
39,1920,603686.64,M_248356_917775,Salem,MA,Two-Family Residential,2,,,
40,1943,710023.04,M_248161_917944,Salem,MA,Two-Family Residential,2,,,
41,1952,703110.60,M_248040_917631,Salem,MA,Two-Family Residential,2,,,
42,1870,722004.61,M_247978_918882,Salem,MA,Two-Family Residential,2,,,
43,1967,741244.24,M_247956_918893,Salem,MA,Two-Family Residential,2,,,
44,1890,853917.05,M_247925_918886,Salem,MA,Two-Family Residential,2,,,
45,1870,757488.48,M_247911_918872,Salem,MA,Two-Family Residential,2,,,
46,1870,755414.75,M_247912_918925,Salem,MA,Two-Family Residential,2,,,
47,1900,874308.76,M_247858_918949,Salem,MA,Two-Family Residential,2,,,
48,1900,924193.55,M_247855_919008,Salem,MA,Three-Family Residential,3,,,
49,1890,661290.32,M_247862_919025,Salem,MA,Two-Family Residential,2,,,
50,1900,779723.50,M_247768_919014,Salem,MA,Two-Family Residential,2,,,
51,1910,632373.27,M_247728_919030,Salem,MA,Two-Family Residential,2,,,
52,1915,712211.98,M_247982_918981,Salem,MA,Two-Family Residential,2,,,
53,1890,893894.01,M_247980_918933,Salem,MA,Three-Family Residential,3,,,
54,1890,741935.48,M_247995_918959,Salem,MA,Two-Family Residential,2,,,
55,1870,715668.20,M_248053_918999,Salem,MA,Two-Family Residential,2,,,
56,1870,724308.76,M_248024_918932,Salem,MA,Two-Family Residential,2,,,
57,1910,874884.79,M_248044_918946,Salem,MA,Three-Family Residential,3,,,
58,1890,847004.61,M_248055_918964,Salem,MA,Three-Family Residential,3,,,
59,1850,856682.03,M_248110_918976,Salem,MA,Two-Family Residential,2,,,
60,1915,763594.47,M_248073_918814,Salem,MA,Two-Family Residential,2,,,
61,1870,645506.91,M_248204_918938,Salem,MA,Two-Family Residential,2,,,
62,1850,711290.32,M_248119_918930,Salem,MA,Two-Family Residential,2,,,
63,1850,705414.75,M_248134_918978,Salem,MA,Two-Family Residential,2,,,
64,1890,780760.37,M_248199_919019,Salem,MA,Two-Family Residential,2,,,
65,1890,714055.30,M_248210_919013,Salem,MA,Two-Family Residential,2,,,
66,1890,867281.11,M_248225_918989,Salem,MA,Three-Family Residential,3,,,
67,1870,550115.21,M_248277_919044,Salem,MA,Two-Family Residential,2,,,
68,1870,746889.40,M_248331_919016,Salem,MA,Two-Family Residential,2,,,
69,1890,739631.34,M_248319_918992,Salem,MA,Two-Family Residential,3,,,
70,1880,665668.20,M_248341_918977,Salem,MA,Two-Family Residential,2,,,
71,1853,604377.88,M_248350_918983,Salem,MA,Two-Family Residential,2,,,
72,1870,646543.78,M_248305_918905,Salem,MA,Two-Family Residential,2,,,
73,1870,494354.84,M_248292_918912,Salem,MA,Two-Family Residential,2,,,
74,1870,628686.64,M_248278_918921,Salem,MA,Two-Family Residential,2,,,
75,1890,743663.59,M_248261_918934,Salem,MA,Two-Family Residential,2,,,
76,1900,1201036.87,M_248239_918940,Salem,MA,Apartments with Four to Eight Units,4,,,
77,1870,746428.57,M_248202_918884,Salem,MA,Two-Family Residential,2,,,
78,1850,724884.79,M_248124_918772,Salem,MA,Two-Family Residential,2,,,
79,1915,794124.42,M_248138_918762,Salem,MA,Two-Family Residential,2,,,
80,1850,769930.88,M_248199_918868,Salem,MA,Two-Family Residential,2,,,
81,1961,620276.50,M_248216_918875,Salem,MA,Two-Family Residential,2,,,
82,1890,755299.54,M_248225_918888,Salem,MA,Three-Family Residential,3,,,
83,1850,651612.90,M_248269_918892,Salem,MA,Two-Family Residential,2,,,
84,1850,776382.49,M_248255_918882,Salem,MA,Two-Family Residential,2,,,
85,1850,771428.57,M_248230_918846,Salem,MA,Two-Family Residential,2,,,
86,1850,707834.10,M_248246_918825,Salem,MA,Two-Family Residential,2,,,
87,1850,692972.35,M_248276_918869,Salem,MA,Two-Family Residential,2,,,
88,1850,759562.21,M_248289_918879,Salem,MA,Two-Family Residential,2,,,
89,1850,877419.35,M_248327_918889,Salem,MA,Three-Family Residential,3,,,
90,1890,685023.04,M_248372_918870,Salem,MA,Two-Family Residential,2,,,
91,1905,715207.37,M_248412_918869,Salem,MA,Three-Family Residential,3,,,
92,1980,734331.80,M_248383_918898,Salem,MA,Two-Family Residential,2,,,
93,1800,852304.15,M_248371_918961,Salem,MA,Two-Family Residential,2,,,
94,1890,885253.46,M_248397_918939,Salem,MA,Three-Family Residential,3,,,
95,1990,1194700.46,M_248431_918925,Salem,MA,Apartments with Four to Eight Units,5,,,
96,1914,650345.62,M_248494_918856,Salem,MA,Two-Family Residential,2,,,
97,1870,959216.59,M_248471_918879,Salem,MA,Three-Family Residential,3,,,
98,1835,561405.53,M_248426_918953,Salem,MA,Two-Family Residential,2,,,
99,1700,695046.08,M_248408_918966,Salem,MA,Two-Family Residential,2,,,
100,1715,602188.94,M_248396_918969,Salem,MA,Two-Family Residential,2,,,
101,1700,817626.73,M_248387_918978,Salem,MA,Three-Family Residential,3,,,
102,1700,809216.59,M_248379_918987,Salem,MA,Two-Family Residential,2,,,
103,2021,1904608.29,M_248491_918965,Salem,MA,Apartments with Four to Eight Units,5,,,
104,1976,788018.43,M_248558_918596,Salem,MA,Two-Family Residential,2,,,
105,1890,761520.74,M_248508_918684,Salem,MA,Three-Family Residential,3,,,
106,1910,663709.68,M_248481_918648,Salem,MA,Two-Family Residential,2,,,
107,1900,717281.11,M_248411_918649,Salem,MA,Two-Family Residential,2,,,
108,1900,900115.21,M_248406_918664,Salem,MA,Three-Family Residential,3,,,
109,1900,680299.54,M_248479_918679,Salem,MA,Two-Family Residential,2,,,
110,1895,799078.34,M_248476_918692,Salem,MA,Two-Family Residential,2,,,
111,1915,930875.58,M_248451_918776,Salem,MA,Three-Family Residential,3,,,
112,1820,833410.14,M_248294_918824,Salem,MA,Two-Family Residential,2,,,
