unit_id,property_id,unit_number,beds,adjusted_rent,baths,base_rent
1,1,1,1,2200.00,,2200.00
2,1,2,1,2200.00,,2200.00
3,2,1,3,2900.00,,2900.00
4,2,2,3,2900.00,,2900.00
5,3,1,3,2900.00,,2900.00
6,3,2,3,2900.00,,2900.00
7,4,1,3,2900.00,,2900.00
8,4,2,3,2900.00,,2900.00
9,5,1,3,2900.00,,2900.00
10,5,2,3,2900.00,,2900.00
11,6,1,2,2607.00,,2607.00
12,6,2,2,2607.00,,2607.00
13,7,1,3,2900.00,,2900.00
14,7,2,3,2900.00,,2900.00
15,8,1,1,2200.00,,2200.00
16,8,2,1,2200.00,,2200.00
17,9,1,2,2607.00,,2607.00
18,9,2,3,2900.00,,2900.00
19,10,1,3,2900.00,,2900.00
20,10,2,3,2900.00,,2900.00
21,11,1,2,2607.00,,2607.00
22,11,2,1,2200.00,,2200.00
23,12,1,3,2900.00,,2900.00
24,12,2,3,2900.00,,2900.00
25,13,1,3,2900.00,,2900.00
26,13,2,3,2900.00,,2900.00
27,14,1,2,2607.00,,2607.00
28,14,2,2,2607.00,,2607.00
29,15,1,3,2900.00,,2900.00
30,15,2,3,2900.00,,2900.00
31,16,1,3,2900.00,,2900.00
32,16,2,3,2900.00,,2900.00
33,17,1,3,2900.00,,2900.00
34,17,2,2,2607.00,,2607.00
35,17,3,3,2900.00,,2900.00
36,18,1,2,2607.00,,2607.00
37,18,2,1,2200.00,,2200.00
38,19,1,3,2900.00,,2900.00
39,19,2,3,2900.00,,2900.00
40,20,1,3,2900.00,,2900.00
41,20,2,2,2607.00,,2607.00
42,21,1,2,2607.00,,2607.00
43,21,2,2,2607.00,,2607.00
44,22,1,2,2607.00,,2607.00
45,22,2,3,2900.00,,2900.00
46,23,1,1,2200.00,,2200.00
47,23,2,1,2200.00,,2200.00
48,23,3,1,2200.00,,2200.00
49,24,1,2,2607.00,,2607.00
50,24,2,2,2607.00,,2607.00
51,25,1,1,2200.00,,2200.00
52,25,2,1,2200.00,,2200.00
53,26,1,1,2200.00,,2200.00
54,26,2,1,2200.00,,2200.00
