property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
1,1974,713089.01,F_812033_2996591,Swampscott,MA,Two-Family Residential,2,,,
2,1860,977905.76,F_813006_2996410,Swampscott,MA,Two-Family Residential,2,,,
3,1910,941361.26,F_812754_2996487,Swampscott,MA,Three-Family Residential,3,,,
4,1910,920523.56,F_812819_2996438,Swampscott,MA,Two-Family Residential,2,,,
5,1910,1328167.54,F_813009_2996315,Swampscott,MA,Three-Family Residential,3,,,
6,1993,1087329.84,F_812777_2996257,Swampscott,MA,Two-Family Residential,2,,,
7,1910,1347434.55,F_812725_2996268,Swampscott,MA,Three-Family Residential,3,,,
8,1907,1594869.11,F_812651_2996200,Swampscott,MA,Apartments with Four to Eight Units,6,,,
9,1850,1407853.40,F_812559_2996161,Swampscott,MA,Apartments with Four to Eight Units,4,,,
10,1910,1233821.99,F_812526_2996247,Swampscott,MA,Three-Family Residential,3,,,
11,1910,1813193.72,F_812573_2996266,Swampscott,MA,Apartments with Four to Eight Units,7,,,
12,1910,1316963.35,F_812618_2996288,Swampscott,MA,Three-Family Residential,3,,,
13,1910,1054554.97,F_812474_2996342,Swampscott,MA,Two-Family Residential,2,,,
14,1910,974240.84,F_812755_2996361,Swampscott,MA,Two-Family Residential,2,,,
15,1935,811413.61,F_812694_2996391,Swampscott,MA,Two-Family Residential,2,,,
16,1920,892041.88,F_812222_2996752,Swampscott,MA,Three-Family Residential,3,,,
17,1912,960942.41,F_812631_2996405,Swampscott,MA,Two-Family Residential,3,,,
18,1865,971727.75,F_812487_2996571,Swampscott,MA,Two-Family Residential,2,,,
19,1897,822094.24,F_812552_2996597,Swampscott,MA,Two-Family Residential,2,,,
20,1857,624921.47,F_812447_2996813,Swampscott,MA,Two-Family Residential,2,,,
21,1900,1170575.92,F_812378_2996680,Swampscott,MA,Two-Family Residential,2,,,
22,1867,710366.49,F_812170_2996526,Swampscott,MA,Two-Family Residential,2,,,
23,1905,680104.71,F_812108_2996500,Swampscott,MA,Two-Family Residential,2,,,
24,1885,777905.76,F_812048_2996492,Swampscott,MA,Two-Family Residential,2,,,
25,1920,652146.60,F_812256_2996790,Swampscott,MA,Two-Family Residential,2,,,
26,1910,800418.85,F_811943_2996407,Swampscott,MA,Two-Family Residential,2,,,
27,1920,497382.20,F_812294_2996831,Swampscott,MA,Two-Family Residential,2,,,
28,1910,1419267.02,F_812114_2996005,Swampscott,MA,Apartments with Four to Eight Units,6,,,
29,1905,1180418.85,F_812070_2995957,Swampscott,MA,Three-Family Residential,3,,,
30,1920,988481.68,F_812037_2996012,Swampscott,MA,Two-Family Residential,2,,,
31,1915,468795.81,F_812010_2996061,Swampscott,MA,Three-Family Residential,3,,,
32,1928,1107643.98,F_812209_2996028,Swampscott,MA,Three-Family Residential,3,,,
33,1940,750261.78,F_812009_2996394,Swampscott,MA,Two-Family Residential,2,,,
34,1875,762827.23,F_812361_2997122,Swampscott,MA,Two-Family Residential,2,,,
35,1939,692251.31,F_812274_2996593,Swampscott,MA,Two-Family Residential,2,,,
36,1890,549214.66,F_811978_2996624,Swampscott,MA,Two-Family Residential,2,,,
37,1910,883769.63,F_812412_2997060,Swampscott,MA,Two-Family Residential,2,,,
38,1920,679057.59,F_812460_2997216,Swampscott,MA,Two-Family Residential,2,,,
39,1875,685968.59,F_812007_2996677,Swampscott,MA,Three-Family Residential,3,,,
40,1917,899790.58,F_812620_2997312,Swampscott,MA,Two-Family Residential,2,,,
41,1890,737801.05,F_815133_3001231,Swampscott,MA,Two-Family Residential,2,,,
42,1915,724502.62,F_814205_3001134,Swampscott,MA,Two-Family Residential,2,,,
43,1999,1131204.19,F_814888_3001311,Swampscott,MA,Two-Family Residential,2,,,
44,1986,921465.97,F_814758_3001170,Swampscott,MA,Two-Family Residential,2,,,
45,1890,693507.85,F_814605_3001396,Swampscott,MA,Two-Family Residential,2,,,
46,1920,918638.74,F_814472_3001364,Swampscott,MA,Two-Family Residential,2,,,
47,1900,625445.03,F_814360_3001328,Swampscott,MA,Two-Family Residential,2,,,
48,1890,870575.92,F_814921_3000933,Swampscott,MA,Two-Family Residential,2,,,
49,1910,629633.51,F_815080_3000954,Swampscott,MA,Two-Family Residential,2,,,
50,1900,828481.68,F_815172_3000852,Swampscott,MA,Two-Family Residential,2,,,
51,1890,683560.21,F_812746_2997151,Swampscott,MA,Two-Family Residential,2,,,
52,1925,600837.70,F_815274_3000756,Swampscott,MA,Two-Family Residential,2,,,
53,1979,704188.48,F_815129_3000796,Swampscott,MA,Two-Family Residential,2,,,
54,1895,684397.91,F_815098_3001555,Swampscott,MA,Two-Family Residential,2,,,
55,1920,594031.41,F_812030_2996713,Swampscott,MA,Two-Family Residential,2,,,
56,1920,884607.33,F_813622_2999542,Swampscott,MA,Two-Family Residential,2,,,
57,1920,863769.63,F_813723_2999428,Swampscott,MA,Two-Family Residential,2,,,
58,1971,989214.66,F_813761_2999473,Swampscott,MA,Two-Family Residential,2,,,
59,1925,740104.71,F_813625_3000068,Swampscott,MA,Two-Family Residential,2,,,
60,1930,725130.89,F_813649_3000112,Swampscott,MA,Two-Family Residential,2,,,
61,1915,734659.69,F_813671_3000156,Swampscott,MA,Two-Family Residential,2,,,
62,1885,707748.69,F_814026_3000671,Swampscott,MA,Two-Family Residential,2,,,
63,1920,783769.63,F_814306_3000400,Swampscott,MA,Two-Family Residential,2,,,
