unit_id,property_id,unit_number,beds,adjusted_rent,baths,base_rent
1,1,1,1,1962.00,,1962.00
2,1,2,1,1962.00,,1962.00
3,2,1,2,2906.00,,2906.00
4,2,2,2,2906.00,,2906.00
5,3,1,1,1962.00,,1962.00
6,3,2,1,1962.00,,1962.00
7,3,3,1,1962.00,,1962.00
8,4,1,4,4290.00,,4290.00
9,4,2,4,4290.00,,4290.00
10,5,1,3,3598.00,,3598.00
11,5,2,2,2906.00,,2906.00
12,5,3,2,2906.00,,2906.00
13,6,1,3,3598.00,,3598.00
14,6,2,3,3598.00,,3598.00
15,7,1,3,3598.00,,3598.00
16,7,2,3,3598.00,,3598.00
17,7,3,3,3598.00,,3598.00
18,8,1,1,1962.00,,1962.00
19,8,2,1,1962.00,,1962.00
20,8,3,1,1962.00,,1962.00
21,8,4,1,1962.00,,1962.00
22,8,5,1,1962.00,,1962.00
23,8,6,1,1962.00,,1962.00
24,9,1,1,1962.00,,1962.00
25,9,2,2,2906.00,,2906.00
26,9,3,1,1962.00,,1962.00
27,9,4,2,2906.00,,2906.00
28,10,1,3,3598.00,,3598.00
29,10,2,2,2906.00,,2906.00
30,10,3,2,2906.00,,2906.00
31,11,1,2,2906.00,,2906.00
32,11,2,2,2906.00,,2906.00
33,11,3,1,1962.00,,1962.00
34,11,4,1,1962.00,,1962.00
35,11,5,2,2906.00,,2906.00
36,11,6,2,2906.00,,2906.00
37,11,7,2,2906.00,,2906.00
38,12,1,2,2906.00,,2906.00
39,12,2,2,2906.00,,2906.00
40,12,3,3,3598.00,,3598.00
41,13,1,2,2906.00,,2906.00
42,13,2,2,2906.00,,2906.00
43,14,1,3,3598.00,,3598.00
44,14,2,3,3598.00,,3598.00
45,15,1,1,1962.00,,1962.00
46,15,2,1,1962.00,,1962.00
47,16,1,2,2906.00,,2906.00
48,16,2,1,1962.00,,1962.00
49,16,3,2,2906.00,,2906.00
50,17,1,2,2906.00,,2906.00
51,17,2,1,1962.00,,1962.00
52,17,3,2,2906.00,,2906.00
53,18,1,3,3598.00,,3598.00
54,18,2,2,2906.00,,2906.00
55,19,1,3,3598.00,,3598.00
56,19,2,3,3598.00,,3598.00
57,20,1,3,3598.00,,3598.00
58,20,2,3,3598.00,,3598.00
59,21,1,4,4290.00,,4290.00
60,21,2,4,4290.00,,4290.00
61,22,1,2,2906.00,,2906.00
62,22,2,3,3598.00,,3598.00
63,23,1,1,1962.00,,1962.00
64,23,2,2,2906.00,,2906.00
65,24,1,2,2906.00,,2906.00
66,24,2,2,2906.00,,2906.00
67,25,1,1,1962.00,,1962.00
68,25,2,2,2906.00,,2906.00
69,26,1,3,3598.00,,3598.00
70,26,2,3,3598.00,,3598.00
71,27,1,2,2906.00,,2906.00
72,27,2,2,2906.00,,2906.00
73,28,1,1,1962.00,,1962.00
74,28,2,0,1668.00,,1668.00
75,28,3,1,1962.00,,1962.00
76,28,4,0,1668.00,,1668.00
77,28,5,1,1962.00,,1962.00
78,28,6,1,1962.00,,1962.00
79,29,1,2,2906.00,,2906.00
80,29,2,3,3598.00,,3598.00
81,29,3,3,3598.00,,3598.00
82,30,1,4,4290.00,,4290.00
83,30,2,4,4290.00,,4290.00
84,31,1,1,1962.00,,1962.00
85,31,2,1,1962.00,,1962.00
86,31,3,1,1962.00,,1962.00
87,32,1,3,3598.00,,3598.00
88,32,2,3,3598.00,,3598.00
89,32,3,3,3598.00,,3598.00
90,33,1,1,1962.00,,1962.00
91,33,2,1,1962.00,,1962.00
92,34,1,2,2906.00,,2906.00
93,34,2,2,2906.00,,2906.00
94,35,1,1,1962.00,,1962.00
95,35,2,1,1962.00,,1962.00
96,36,1,1,1962.00,,1962.00
97,36,2,2,2906.00,,2906.00
98,37,1,2,2906.00,,2906.00
99,37,2,2,2906.00,,2906.00
100,38,1,2,2906.00,,2906.00
101,38,2,2,2906.00,,2906.00
102,39,1,0,1668.00,,1668.00
103,39,2,0,1668.00,,1668.00
104,39,3,0,1668.00,,1668.00
105,40,1,3,3598.00,,3598.00
106,40,2,3,3598.00,,3598.00
107,41,1,2,2906.00,,2906.00
108,41,2,3,3598.00,,3598.00
109,42,1,2,2906.00,,2906.00
110,42,2,2,2906.00,,2906.00
111,43,1,3,3598.00,,3598.00
112,43,2,4,4290.00,,4290.00
113,44,1,3,3598.00,,3598.00
114,44,2,3,3598.00,,3598.00
115,45,1,2,2906.00,,2906.00
116,45,2,1,1962.00,,1962.00
117,46,1,2,2906.00,,2906.00
118,46,2,2,2906.00,,2906.00
119,47,1,1,1962.00,,1962.00
120,47,2,1,1962.00,,1962.00
121,48,1,3,3598.00,,3598.00
122,48,2,3,3598.00,,3598.00
123,49,1,1,1962.00,,1962.00
124,49,2,2,2906.00,,2906.00
125,50,1,2,2906.00,,2906.00
126,50,2,3,3598.00,,3598.00
127,51,1,1,1962.00,,1962.00
128,51,2,1,1962.00,,1962.00
129,52,1,2,2906.00,,2906.00
130,52,2,1,1962.00,,1962.00
131,53,1,2,2906.00,,2906.00
132,53,2,2,2906.00,,2906.00
133,54,1,2,2906.00,,2906.00
134,54,2,2,2906.00,,2906.00
135,55,1,0,1668.00,,1668.00
136,55,2,0,1668.00,,1668.00
137,56,1,3,3598.00,,3598.00
138,56,2,2,2906.00,,2906.00
139,57,1,2,2906.00,,2906.00
140,57,2,3,3598.00,,3598.00
141,58,1,3,3598.00,,3598.00
142,58,2,3,3598.00,,3598.00
143,59,1,3,3598.00,,3598.00
144,59,2,3,3598.00,,3598.00
145,60,1,2,2906.00,,2906.00
146,60,2,2,2906.00,,2906.00
147,61,1,2,2906.00,,2906.00
148,61,2,2,2906.00,,2906.00
149,62,1,1,1962.00,,1962.00
150,62,2,2,2906.00,,2906.00
151,63,1,3,3598.00,,3598.00
152,63,2,3,3598.00,,3598.00
153,64,1,3,3598.00,,3598.00
154,64,2,3,3598.00,,3598.00
155,65,1,1,1962.00,,1962.00
156,65,2,2,2906.00,,2906.00
157,66,1,2,2906.00,,2906.00
158,66,2,3,3598.00,,3598.00
159,67,1,2,2906.00,,2906.00
160,67,2,2,2906.00,,2906.00
161,68,1,2,2906.00,,2906.00
162,68,2,2,2906.00,,2906.00
163,69,1,2,2906.00,,2906.00
164,69,2,1,1962.00,,1962.00
165,70,1,2,2906.00,,2906.00
166,70,2,2,2906.00,,2906.00
167,71,1,3,3598.00,,3598.00
168,71,2,3,3598.00,,3598.00
169,72,1,2,2906.00,,2906.00
170,72,2,2,2906.00,,2906.00
171,73,1,3,3598.00,,3598.00
172,73,2,2,2906.00,,2906.00
173,74,1,3,3598.00,,3598.00
174,74,2,3,3598.00,,3598.00
175,75,1,3,3598.00,,3598.00
176,75,2,3,3598.00,,3598.00
177,76,1,1,1962.00,,1962.00
178,76,2,1,1962.00,,1962.00
179,77,1,2,2906.00,,2906.00
180,77,2,2,2906.00,,2906.00
181,78,1,3,3598.00,,3598.00
182,78,2,2,2906.00,,2906.00
183,79,1,2,2906.00,,2906.00
184,79,2,2,2906.00,,2906.00
185,80,1,3,3598.00,,3598.00
186,80,2,2,2906.00,,2906.00
187,81,1,2,2906.00,,2906.00
188,81,2,2,2906.00,,2906.00
189,82,1,2,2906.00,,2906.00
190,82,2,3,3598.00,,3598.00
191,83,1,2,2906.00,,2906.00
192,83,2,3,3598.00,,3598.00
193,84,1,3,3598.00,,3598.00
194,84,2,3,3598.00,,3598.00
195,85,1,3,3598.00,,3598.00
196,85,2,3,3598.00,,3598.00
197,86,1,3,3598.00,,3598.00
198,86,2,3,3598.00,,3598.00
199,87,1,3,3598.00,,3598.00
200,87,2,2,2906.00,,2906.00
201,88,1,2,2906.00,,2906.00
202,88,2,2,2906.00,,2906.00
203,89,1,1,1962.00,,1962.00
204,89,2,1,1962.00,,1962.00
205,89,3,1,1962.00,,1962.00
206,90,1,1,1962.00,,1962.00
207,90,2,2,2906.00,,2906.00
208,91,1,3,3598.00,,3598.00
209,91,2,2,2906.00,,2906.00
210,92,1,2,2906.00,,2906.00
211,92,2,1,1962.00,,1962.00
212,93,1,3,3598.00,,3598.00
213,93,2,3,3598.00,,3598.00
214,94,1,3,3598.00,,3598.00
215,94,2,3,3598.00,,3598.00
216,95,1,3,3598.00,,3598.00
217,95,2,3,3598.00,,3598.00
218,96,1,2,2906.00,,2906.00
219,96,2,2,2906.00,,2906.00
220,96,3,2,2906.00,,2906.00
221,97,1,2,2906.00,,2906.00
222,97,2,2,2906.00,,2906.00
223,98,1,0,1668.00,,1668.00
224,98,2,0,1668.00,,1668.00
225,99,1,3,3598.00,,3598.00
226,99,2,3,3598.00,,3598.00
227,100,1,1,1962.00,,1962.00
228,100,2,1,1962.00,,1962.00
229,101,1,2,2906.00,,2906.00
230,101,2,3,3598.00,,3598.00
231,102,1,2,2906.00,,2906.00
232,102,2,2,2906.00,,2906.00
233,102,3,1,1962.00,,1962.00
234,103,1,1,1962.00,,1962.00
235,103,2,2,2906.00,,2906.00
236,103,3,2,2906.00,,2906.00
237,104,1,2,2906.00,,2906.00
238,104,2,2,2906.00,,2906.00
239,105,1,2,2906.00,,2906.00
240,105,2,2,2906.00,,2906.00
241,106,1,2,2906.00,,2906.00
242,106,2,2,2906.00,,2906.00
243,107,1,2,2906.00,,2906.00
244,107,2,2,2906.00,,2906.00
245,108,1,2,2906.00,,2906.00
246,108,2,3,3598.00,,3598.00
247,109,1,3,3598.00,,3598.00
248,109,2,3,3598.00,,3598.00
249,110,1,1,1962.00,,1962.00
250,110,2,1,1962.00,,1962.00
251,110,3,1,1962.00,,1962.00
252,111,1,3,3598.00,,3598.00
253,111,2,3,3598.00,,3598.00
254,112,1,4,4290.00,,4290.00
255,112,2,3,3598.00,,3598.00
256,113,1,4,4290.00,,4290.00
257,113,2,3,3598.00,,3598.00
258,114,1,1,1962.00,,1962.00
259,114,2,1,1962.00,,1962.00
260,114,3,2,2906.00,,2906.00
261,115,1,2,2906.00,,2906.00
262,115,2,1,1962.00,,1962.00
263,116,1,3,3598.00,,3598.00
264,116,2,3,3598.00,,3598.00
265,117,1,2,2906.00,,2906.00
266,117,2,2,2906.00,,2906.00
267,118,1,2,2906.00,,2906.00
268,118,2,1,1962.00,,1962.00
269,118,3,2,2906.00,,2906.00
270,119,1,1,1962.00,,1962.00
271,119,2,1,1962.00,,1962.00
272,119,3,1,1962.00,,1962.00
273,120,1,3,3598.00,,3598.00
274,120,2,3,3598.00,,3598.00
275,120,3,3,3598.00,,3598.00
276,120,4,3,3598.00,,3598.00
277,121,1,2,2906.00,,2906.00
278,121,2,2,2906.00,,2906.00
279,122,1,2,2906.00,,2906.00
280,122,2,2,2906.00,,2906.00
281,123,1,2,2906.00,,2906.00
282,123,2,2,2906.00,,2906.00
283,124,1,2,2906.00,,2906.00
284,124,2,2,2906.00,,2906.00
285,125,1,3,3598.00,,3598.00
286,125,2,3,3598.00,,3598.00
287,126,1,1,1962.00,,1962.00
288,126,2,1,1962.00,,1962.00
289,126,3,1,1962.00,,1962.00
290,127,1,1,1962.00,,1962.00
291,127,2,1,1962.00,,1962.00
292,128,1,1,1962.00,,1962.00
293,128,2,1,1962.00,,1962.00
294,128,3,1,1962.00,,1962.00
295,128,4,2,2906.00,,2906.00
296,129,1,3,3598.00,,3598.00
297,129,2,3,3598.00,,3598.00
298,129,3,2,2906.00,,2906.00
299,130,1,2,2906.00,,2906.00
300,130,2,2,2906.00,,2906.00
301,131,1,2,2906.00,,2906.00
302,131,2,2,2906.00,,2906.00
303,132,1,4,4290.00,,4290.00
304,132,2,4,4290.00,,4290.00
305,133,1,4,4290.00,,4290.00
306,133,2,4,4290.00,,4290.00
307,134,1,4,4290.00,,4290.00
308,134,2,4,4290.00,,4290.00
309,135,1,3,3598.00,,3598.00
310,135,2,4,4290.00,,4290.00
311,136,1,3,3598.00,,3598.00
312,136,2,3,3598.00,,3598.00
313,137,1,4,4290.00,,4290.00
314,137,2,3,3598.00,,3598.00
315,138,1,2,2906.00,,2906.00
