property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
1,1908,738518.91,PC_0220012019,Tacoma,WA,Triplex,3,,,
2,1962,363026.11,PC_0220012231,Tacoma,WA,Duplex,2,,,
3,1975,558763.99,PC_0220016001,Tacoma,WA,Duplex,2,,,
4,1976,729675.01,PC_0220016002,Tacoma,WA,Triplex,3,,,
5,1977,564730.95,PC_0220018001,Tacoma,WA,Duplex,2,,,
6,1977,737559.94,PC_0220018002,Tacoma,WA,Duplex,2,,,
7,2021,957805.01,PC_0220021000,Tacoma,WA,Duplex,2,,,
8,1971,703462.97,PC_0220021019,Tacoma,WA,Duplex,2,,,
9,1935,509110.28,PC_0220022038,Tacoma,WA,Duplex,2,,,
10,1956,921790.09,PC_0220022078,Tacoma,WA,Apartment 5-8 Units,8,,,
11,1974,800106.55,PC_0220025001,Tacoma,WA,Duplex,2,,,
12,1974,752903.57,PC_0220025002,Tacoma,WA,Duplex,2,,,
13,1959,830154.50,PC_0220044235,Tacoma,WA,Duplex,2,,,
14,1912,494192.86,PC_0220044297,Tacoma,WA,Duplex,2,,,
15,1983,1617368.14,PC_0220044331,Tacoma,WA,Apartment 5-8 Units,6,,,
16,1983,1617474.69,PC_0220044332,Tacoma,WA,Apartment 5-8 Units,6,,,
17,1982,1634096.96,PC_0220048020,Tacoma,WA,Apartment 5-8 Units,6,,,
18,1989,920618.01,PC_0220095038,Tacoma,WA,Duplex,2,,,
19,1989,972296.22,PC_0220095039,Tacoma,WA,Duplex,2,,,
20,1969,755567.39,PC_0220102177,Tacoma,WA,Duplex,2,,,
21,1969,718486.95,PC_0220102178,Tacoma,WA,Duplex,2,,,
22,1970,996803.41,PC_0220102179,Tacoma,WA,Duplex,2,,,
23,1971,1273841.24,PC_0220102185,Tacoma,WA,Duplex,2,,,
24,1975,996057.54,PC_0220102235,Tacoma,WA,Duplex,2,,,
25,2008,797442.73,PC_0220106002,Tacoma,WA,Duplex,2,,,
26,2002,788811.93,PC_0220131042,Tacoma,WA,Duplex,2,,,
27,1966,557591.90,PC_0220131075,Tacoma,WA,Triplex,3,,,
28,2004,1106020.25,PC_0220131086,Tacoma,WA,Triplex,3,,,
29,1985,506872.67,PC_0220131087,Tacoma,WA,Duplex,2,,,
30,1966,415663.29,PC_0220131090,Tacoma,WA,Duplex,2,,,
31,1966,401172.08,PC_0220131093,Tacoma,WA,Duplex,2,,,
32,1966,406286.63,PC_0220131094,Tacoma,WA,Duplex,2,,,
33,1966,401172.08,PC_0220131096,Tacoma,WA,Duplex,2,,,
34,1971,540117.21,PC_0220131102,Tacoma,WA,Duplex,2,,,
35,1971,599147.58,PC_0220131103,Tacoma,WA,Duplex,2,,,
36,1973,649760.26,PC_0220131109,Tacoma,WA,Triplex,3,,,
37,1973,492594.57,PC_0220131110,Tacoma,WA,Duplex,2,,,
38,1966,446137.45,PC_0220131116,Tacoma,WA,Duplex,2,,,
39,2024,1190623.34,PC_0220132004,Tacoma,WA,Duplex,2,,,
40,1974,739691.00,PC_0220135001,Tacoma,WA,Triplex,3,,,
41,1976,945444.86,PC_0220135002,Tacoma,WA,Fourplex,4,,,
42,1976,446457.11,PC_0220135004,Tacoma,WA,Duplex,2,,,
43,1976,474267.45,PC_0220135005,Tacoma,WA,Duplex,2,,,
44,1981,800745.87,PC_0220135006,Tacoma,WA,Triplex,3,,,
45,1981,800106.55,PC_0220135007,Tacoma,WA,Triplex,3,,,
46,1981,800106.55,PC_0220135008,Tacoma,WA,Triplex,3,,,
47,1981,803090.04,PC_0220135009,Tacoma,WA,Triplex,3,,,
48,1986,714331.38,PC_0220135018,Tacoma,WA,Triplex,3,,,
49,1986,718060.74,PC_0220135019,Tacoma,WA,Triplex,3,,,
50,2008,1232498.67,PC_0220135026,Tacoma,WA,Duplex,2,,,
51,1963,402450.72,PC_0220135037,Tacoma,WA,Duplex,2,,,
