unit_id,property_id,unit_number,beds,adjusted_rent,baths,base_rent
1,1,1,2,1971.00,1.0,1971.00
2,1,2,1,1605.00,1.0,1605.00
3,1,3,1,1605.00,1.0,1605.00
4,2,1,3,2773.00,2.0,2773.00
5,2,2,2,1971.00,2.0,1971.00
6,3,1,2,1971.00,1.0,1971.00
7,3,2,2,1971.00,1.0,1971.00
8,4,1,2,1971.00,1.0,1971.00
9,4,2,2,1971.00,1.0,1971.00
10,4,3,2,1971.00,1.0,1971.00
11,5,1,2,1971.00,1.0,1971.00
12,5,2,2,1971.00,1.0,1971.00
13,6,1,3,2773.00,2.0,2773.00
14,6,2,3,2773.00,2.0,2773.00
15,7,1,3,2773.00,2.0,2773.00
16,7,2,3,2773.00,2.0,2773.00
17,8,1,2,1971.00,1.0,1971.00
18,8,2,2,1971.00,1.0,1971.00
19,9,1,2,1971.00,1.0,1971.00
20,9,2,1,1605.00,1.0,1605.00
21,10,1,1,1605.00,,1605.00
22,10,2,1,1605.00,,1605.00
23,10,3,1,1605.00,,1605.00
24,10,4,1,1605.00,,1605.00
25,10,5,1,1605.00,,1605.00
26,10,6,1,1605.00,,1605.00
27,10,7,1,1605.00,,1605.00
28,10,8,1,1605.00,,1605.00
29,11,1,2,1971.00,1.5,1971.00
30,11,2,2,1971.00,1.5,1971.00
31,12,1,2,1971.00,1.5,1971.00
32,12,2,2,1971.00,1.5,1971.00
33,13,1,3,2773.00,1.25,2773.00
34,13,2,3,2773.00,1.25,2773.00
35,14,1,2,1971.00,1.0,1971.00
36,14,2,1,1605.00,1.0,1605.00
37,15,1,1,1605.00,,1605.00
38,15,2,1,1605.00,,1605.00
39,15,3,1,1605.00,,1605.00
40,15,4,1,1605.00,,1605.00
41,15,5,1,1605.00,,1605.00
42,15,6,1,1605.00,,1605.00
43,16,1,1,1605.00,,1605.00
44,16,2,1,1605.00,,1605.00
45,16,3,1,1605.00,,1605.00
46,16,4,1,1605.00,,1605.00
47,16,5,1,1605.00,,1605.00
48,16,6,1,1605.00,,1605.00
49,17,1,1,1605.00,,1605.00
50,17,2,1,1605.00,,1605.00
51,17,3,1,1605.00,,1605.00
52,17,4,1,1605.00,,1605.00
53,17,5,1,1605.00,,1605.00
54,17,6,1,1605.00,,1605.00
55,18,1,2,1971.00,1.75,1971.00
56,18,2,2,1971.00,1.75,1971.00
57,19,1,2,1971.00,1.75,1971.00
58,19,2,2,1971.00,1.75,1971.00
59,20,1,2,1971.00,1.0,1971.00
60,20,2,2,1971.00,1.0,1971.00
61,21,1,2,1971.00,1.0,1971.00
62,21,2,2,1971.00,1.0,1971.00
63,22,1,2,1971.00,1.5,1971.00
64,22,2,2,1971.00,1.5,1971.00
65,23,1,4,3102.00,2.0,3102.00
66,23,2,4,3102.00,2.0,3102.00
67,24,1,3,2773.00,2.5,2773.00
68,24,2,3,2773.00,2.5,2773.00
69,25,1,3,2773.00,1.0,2773.00
70,25,2,3,2773.00,1.0,2773.00
71,26,1,3,2773.00,2.25,2773.00
72,26,2,3,2773.00,2.25,2773.00
73,27,1,2,1971.00,1.0,1971.00
74,27,2,2,1971.00,1.0,1971.00
75,27,3,2,1971.00,1.0,1971.00
76,28,1,3,2773.00,2.25,2773.00
77,28,2,3,2773.00,2.25,2773.00
78,28,3,3,2773.00,2.25,2773.00
79,29,1,2,1971.00,1.0,1971.00
80,29,2,2,1971.00,1.0,1971.00
81,30,1,2,1971.00,1.0,1971.00
82,30,2,2,1971.00,1.0,1971.00
83,31,1,2,1971.00,1.0,1971.00
84,31,2,2,1971.00,1.0,1971.00
85,32,1,2,1971.00,1.0,1971.00
86,32,2,2,1971.00,1.0,1971.00
87,33,1,2,1971.00,1.0,1971.00
88,33,2,2,1971.00,1.0,1971.00
89,34,1,3,2773.00,1.0,2773.00
90,34,2,3,2773.00,1.0,2773.00
91,35,1,3,2773.00,1.5,2773.00
92,35,2,3,2773.00,1.5,2773.00
93,36,1,2,1971.00,1.0,1971.00
94,36,2,2,1971.00,1.0,1971.00
95,36,3,2,1971.00,1.0,1971.00
96,37,1,2,1971.00,1.0,1971.00
97,37,2,2,1971.00,1.0,1971.00
98,38,1,2,1971.00,1.0,1971.00
99,38,2,2,1971.00,1.0,1971.00
100,39,1,4,3102.00,2.75,3102.00
101,39,2,4,3102.00,2.75,3102.00
102,40,1,2,1971.00,1.0,1971.00
103,40,2,2,1971.00,1.0,1971.00
104,40,3,2,1971.00,1.0,1971.00
105,41,1,2,1971.00,1.0,1971.00
106,41,2,2,1971.00,1.0,1971.00
107,41,3,2,1971.00,1.0,1971.00
108,41,4,2,1971.00,1.0,1971.00
109,42,1,2,1971.00,1.0,1971.00
110,42,2,2,1971.00,1.0,1971.00
111,43,1,2,1971.00,1.0,1971.00
112,43,2,2,1971.00,1.0,1971.00
113,44,1,2,1971.00,1.0,1971.00
114,44,2,2,1971.00,1.0,1971.00
115,44,3,2,1971.00,1.0,1971.00
116,45,1,2,1971.00,1.0,1971.00
117,45,2,2,1971.00,1.0,1971.00
118,45,3,2,1971.00,1.0,1971.00
119,46,1,2,1971.00,1.0,1971.00
120,46,2,2,1971.00,1.0,1971.00
121,46,3,2,1971.00,1.0,1971.00
122,47,1,2,1971.00,1.0,1971.00
123,47,2,2,1971.00,1.0,1971.00
124,47,3,2,1971.00,1.0,1971.00
125,48,1,2,1971.00,1.0,1971.00
126,48,2,2,1971.00,1.0,1971.00
127,48,3,2,1971.00,1.0,1971.00
128,49,1,2,1971.00,1.0,1971.00
129,49,2,2,1971.00,1.0,1971.00
130,49,3,2,1971.00,1.0,1971.00
131,50,1,6,4033.00,5.0,4033.00
132,50,2,6,4033.00,5.0,4033.00
133,51,1,1,1605.00,1.0,1605.00
134,51,2,1,1605.00,1.0,1605.00
135,52,1,1,1605.00,1.0,1605.00
136,52,2,1,1605.00,1.0,1605.00
137,53,1,1,1605.00,1.0,1605.00
138,53,2,1,1605.00,1.0,1605.00
139,54,1,2,1971.00,1.0,1971.00
140,54,2,2,1971.00,1.0,1971.00
141,54,3,2,1971.00,1.0,1971.00
142,55,1,2,1971.00,1.0,1971.00
143,55,2,2,1971.00,1.0,1971.00
144,55,3,2,1971.00,1.0,1971.00
145,56,1,2,1971.00,1.0,1971.00
146,56,2,2,1971.00,1.0,1971.00
147,56,3,2,1971.00,1.0,1971.00
148,57,1,3,2773.00,2.25,2773.00
149,57,2,3,2773.00,2.25,2773.00
150,58,1,2,1971.00,1.5,1971.00
151,58,2,2,1971.00,1.5,1971.00
152,58,3,2,1971.00,1.5,1971.00
153,59,1,2,1971.00,1.5,1971.00
154,59,2,2,1971.00,1.5,1971.00
155,59,3,2,1971.00,1.5,1971.00
156,60,1,2,1971.00,1.5,1971.00
157,60,2,2,1971.00,1.5,1971.00
158,60,3,2,1971.00,1.5,1971.00
159,61,1,2,1971.00,1.5,1971.00
160,61,2,2,1971.00,1.5,1971.00
161,61,3,2,1971.00,1.5,1971.00
162,62,1,3,2773.00,2.25,2773.00
163,62,2,3,2773.00,2.25,2773.00
164,62,3,3,2773.00,2.25,2773.00
165,63,1,2,1971.00,1.0,1971.00
166,63,2,2,1971.00,1.0,1971.00
167,63,3,2,1971.00,1.0,1971.00
168,63,4,2,1971.00,1.0,1971.00
169,64,1,2,1971.00,1.0,1971.00
170,64,2,2,1971.00,1.0,1971.00
171,64,3,2,1971.00,1.0,1971.00
172,64,4,2,1971.00,1.0,1971.00
173,65,1,2,1971.00,1.0,1971.00
174,65,2,2,1971.00,1.0,1971.00
175,65,3,2,1971.00,1.0,1971.00
176,65,4,2,1971.00,1.0,1971.00
177,66,1,2,1971.00,1.0,1971.00
178,66,2,2,1971.00,1.0,1971.00
179,66,3,2,1971.00,1.0,1971.00
180,66,4,2,1971.00,1.0,1971.00
181,67,1,2,1971.00,1.0,1971.00
182,67,2,2,1971.00,1.0,1971.00
183,67,3,2,1971.00,1.0,1971.00
184,67,4,2,1971.00,1.0,1971.00
185,68,1,2,1971.00,1.0,1971.00
186,68,2,2,1971.00,1.0,1971.00
187,68,3,2,1971.00,1.0,1971.00
188,68,4,2,1971.00,1.0,1971.00
189,69,1,2,1971.00,1.0,1971.00
190,69,2,2,1971.00,1.0,1971.00
191,69,3,2,1971.00,1.0,1971.00
192,69,4,2,1971.00,1.0,1971.00
193,70,1,3,2773.00,2.0,2773.00
194,70,2,3,2773.00,2.0,2773.00
195,71,1,3,2773.00,2.0,2773.00
196,71,2,3,2773.00,2.0,2773.00
197,72,1,3,2773.00,2.0,2773.00
198,72,2,3,2773.00,2.0,2773.00
199,73,1,3,2773.00,2.0,2773.00
200,73,2,3,2773.00,2.0,2773.00
201,74,1,2,1971.00,1.25,1971.00
202,74,2,1,1605.00,1.25,1605.00
203,75,1,5,3567.00,3.0,3567.00
204,75,2,5,3567.00,3.0,3567.00
205,76,1,2,1971.00,1.5,1971.00
206,76,2,2,1971.00,1.5,1971.00
207,77,1,3,2773.00,2.5,2773.00
208,77,2,3,2773.00,2.5,2773.00
209,77,3,3,2773.00,2.5,2773.00
210,78,1,2,1971.00,1.0,1971.00
211,78,2,2,1971.00,1.0,1971.00
212,78,3,2,1971.00,1.0,1971.00
213,79,1,2,1971.00,1.0,1971.00
214,79,2,2,1971.00,1.0,1971.00
215,79,3,2,1971.00,1.0,1971.00
216,80,1,2,1971.00,1.5,1971.00
217,80,2,2,1971.00,1.5,1971.00
218,80,3,2,1971.00,1.5,1971.00
219,81,1,2,1971.00,1.5,1971.00
220,81,2,2,1971.00,1.5,1971.00
221,81,3,2,1971.00,1.5,1971.00
222,82,1,2,1971.00,1.5,1971.00
223,82,2,2,1971.00,1.5,1971.00
224,82,3,2,1971.00,1.5,1971.00
225,83,1,2,1971.00,1.0,1971.00
226,83,2,2,1971.00,1.0,1971.00
227,84,1,3,2773.00,2.5,2773.00
228,84,2,3,2773.00,2.5,2773.00
229,85,1,3,2773.00,2.5,2773.00
230,85,2,3,2773.00,2.5,2773.00
231,86,1,3,2773.00,2.5,2773.00
232,86,2,3,2773.00,2.5,2773.00
233,87,1,3,2773.00,2.5,2773.00
234,87,2,3,2773.00,2.5,2773.00
235,88,1,2,1971.00,1.5,1971.00
236,88,2,2,1971.00,1.5,1971.00
237,88,3,2,1971.00,1.5,1971.00
238,89,1,2,1971.00,1.5,1971.00
239,89,2,2,1971.00,1.5,1971.00
240,90,1,1,1605.00,,1605.00
241,90,2,1,1605.00,,1605.00
242,90,3,1,1605.00,,1605.00
243,90,4,1,1605.00,,1605.00
244,90,5,1,1605.00,,1605.00
245,90,6,1,1605.00,,1605.00
246,90,7,1,1605.00,,1605.00
247,90,8,1,1605.00,,1605.00
248,91,1,2,1971.00,1.0,1971.00
249,91,2,1,1605.00,1.0,1605.00
250,91,3,1,1605.00,1.0,1605.00
251,92,1,2,1971.00,1.0,1971.00
252,92,2,2,1971.00,1.0,1971.00
253,93,1,2,1971.00,1.5,1971.00
254,93,2,2,1971.00,1.5,1971.00
255,93,3,2,1971.00,1.5,1971.00
256,93,4,2,1971.00,1.5,1971.00
257,94,1,2,1971.00,1.5,1971.00
258,94,2,2,1971.00,1.5,1971.00
259,94,3,2,1971.00,1.5,1971.00
260,94,4,2,1971.00,1.5,1971.00
261,95,1,3,2773.00,1.25,2773.00
262,95,2,2,1971.00,1.25,1971.00
263,96,1,2,1971.00,1.0,1971.00
264,96,2,1,1605.00,1.0,1605.00
265,97,1,3,2773.00,2.5,2773.00
266,97,2,3,2773.00,2.5,2773.00
267,98,1,1,1605.00,1.0,1605.00
268,98,2,1,1605.00,1.0,1605.00
269,99,1,2,1971.00,1.0,1971.00
270,99,2,1,1605.00,1.0,1605.00
271,100,1,2,1971.00,1.5,1971.00
272,100,2,2,1971.00,1.5,1971.00
273,101,1,2,1971.00,1.0,1971.00
274,101,2,2,1971.00,1.0,1971.00
275,102,1,1,1605.00,,1605.00
276,102,2,1,1605.00,,1605.00
277,102,3,1,1605.00,,1605.00
278,102,4,1,1605.00,,1605.00
279,102,5,1,1605.00,,1605.00
280,102,6,1,1605.00,,1605.00
281,103,1,2,1971.00,1.0,1971.00
282,103,2,1,1605.00,1.0,1605.00
283,104,1,2,1971.00,1.0,1971.00
284,104,2,2,1971.00,1.0,1971.00
285,105,1,3,2773.00,2.0,2773.00
286,105,2,3,2773.00,2.0,2773.00
287,106,1,2,1971.00,1.0,1971.00
288,106,2,2,1971.00,1.0,1971.00
289,107,1,2,1971.00,1.0,1971.00
290,107,2,2,1971.00,1.0,1971.00
291,108,1,3,2773.00,1.0,2773.00
292,108,2,3,2773.00,1.0,2773.00
293,108,3,3,2773.00,1.0,2773.00
294,108,4,3,2773.00,1.0,2773.00
295,108,5,2,1971.00,1.0,1971.00
296,108,6,2,1971.00,1.0,1971.00
297,109,1,1,1605.00,1.0,1605.00
298,109,2,1,1605.00,1.0,1605.00
299,110,1,2,1971.00,1.0,1971.00
