Rung_StartingCapital,ProjectionID,Seed,Months,EngineVersion,ProjectionInGold,Survived,FinalCash,FinalTotal,EvictionCount,Command
5000000,1200,1,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 1 --months 240
5000000,1200,2,240,0.6.0,yes,1,44084.21,418284.90,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 2 --months 240
5000000,1200,3,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 3 --months 240
5000000,1200,4,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 4 --months 240
5000000,1200,5,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 5 --months 240
5000000,1200,6,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 6 --months 240
5000000,1200,7,240,0.6.0,yes,1,113410.72,402843.34,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 7 --months 240
5000000,1200,8,240,0.6.0,yes,1,679172.31,1164149.55,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 8 --months 240
5000000,1200,9,240,0.6.0,yes,1,45904.43,360448.13,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 9 --months 240
5000000,1200,10,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 10 --months 240
5000000,1200,11,240,0.6.0,yes,1,546105.52,1018582.60,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 11 --months 240
5000000,1200,12,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 12 --months 240
5000000,1200,13,240,0.6.0,yes,1,48775.61,382881.71,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 13 --months 240
5000000,1200,14,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 14 --months 240
5000000,1200,15,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 15 --months 240
5000000,1200,16,240,0.6.0,yes,1,206544.32,718781.12,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 16 --months 240
5000000,1200,17,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 17 --months 240
5000000,1200,18,240,0.6.0,yes,1,38301.07,195766.58,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 18 --months 240
5000000,1200,19,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 19 --months 240
5000000,1200,20,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 20 --months 240
5000000,1200,21,240,0.6.0,yes,1,171182.26,342025.49,1,python app/src/simulation.py --env <db> --projection-id 1200 --seed 21 --months 240
5000000,1200,22,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 22 --months 240
5000000,1200,23,240,0.6.0,yes,1,204542.90,696042.86,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 23 --months 240
5000000,1200,24,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 24 --months 240
5000000,1200,25,240,0.6.0,yes,1,720876.66,1363161.54,0,python app/src/simulation.py --env <db> --projection-id 1200 --seed 25 --months 240
5500000,1201,1,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 1 --months 240
5500000,1201,2,240,0.6.0,yes,1,415418.10,964530.66,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 2 --months 240
5500000,1201,3,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 3 --months 240
5500000,1201,4,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 4 --months 240
5500000,1201,5,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 5 --months 240
5500000,1201,6,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 6 --months 240
5500000,1201,7,240,0.6.0,yes,1,130151.30,657658.79,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 7 --months 240
5500000,1201,8,240,0.6.0,yes,1,668270.75,1183528.19,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 8 --months 240
5500000,1201,9,240,0.6.0,yes,1,251286.92,726039.68,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 9 --months 240
5500000,1201,10,240,0.6.0,yes,1,32493.55,84725.21,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 10 --months 240
5500000,1201,11,240,0.6.0,yes,1,382869.34,900088.18,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 11 --months 240
5500000,1201,12,240,0.6.0,yes,1,443198.27,1052129.63,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 12 --months 240
5500000,1201,13,240,0.6.0,yes,1,465558.22,966386.86,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 13 --months 240
5500000,1201,14,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 14 --months 240
5500000,1201,15,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 15 --months 240
5500000,1201,16,240,0.6.0,yes,1,234754.18,770859.58,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 16 --months 240
5500000,1201,17,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 17 --months 240
5500000,1201,18,240,0.6.0,yes,1,41439.85,423454.60,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 18 --months 240
5500000,1201,19,240,0.6.0,yes,1,51878.93,403879.90,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 19 --months 240
5500000,1201,20,240,0.6.0,yes,1,43256.92,297789.74,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 20 --months 240
5500000,1201,21,240,0.6.0,yes,1,157941.09,390209.77,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 21 --months 240
5500000,1201,22,240,0.6.0,yes,1,26736.90,280834.17,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 22 --months 240
5500000,1201,23,240,0.6.0,yes,1,420184.32,942178.44,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 23 --months 240
5500000,1201,24,240,0.6.0,yes,1,200462.66,486739.69,0,python app/src/simulation.py --env <db> --projection-id 1201 --seed 24 --months 240
